Company Code,Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,Year,Month,Week,Requested Date,Current Forecast KG,Customer Code,Customer Name,Global Parent,Global Parent Name,TM Name,Current Forecast,Primary UOM,Current Forecast LB
00010,CIN2,251194NX,251194NX,251194NX-PL,2026,7,27,2026-07-04 00:00:00,0.567,291971,"RTA (Soluciones del Futuro) - Miami, FL",291971,"RTA (Soluciones del Futuro) - Miami, FL",,1.25,LB,1.25
00010,CIN2,DP040,DP040,DP040-B1,2026,7,27,2026-07-04 00:00:00,43.2054,296771,"Intermarket-Miami,Fl(International Acct)",296771,"Intermarket-Miami,Fl(International Acct)",,95.25,LB,95.25
00010,CIN2,DP040,DP040,DP040-B1,2026,7,27,2026-07-04 00:00:00,40.9374,298451,"Graphicsource-Quito, Ecuador",298451,"Graphicsource-Quito, Ecuador",,90.25,LB,90.25
00010,CIN2,DP040,DP040,DP040-B1,2026,7,27,2026-07-04 00:00:00,19.9584,323911,"S-One/ SOLP US Illinoi, Carol Stream, IL",319906,S-One Labels - GLOBAL PARENT,,44,LB,44
00010,CIN2,DP040,DP040,DP040-B1,2026,7,27,2026-07-04 00:00:00,19.9584,323915,"S-One/ UPS SCS,Hamilton,ON,CA",319906,S-One Labels - GLOBAL PARENT,,44,LB,44
00010,CIN2,DP040,DP040,DP040-B1,2026,7,27,2026-07-04 00:00:00,19.9584,323916,"S-One/ SOLP Nevada UPS, Sparks, NV",319906,S-One Labels - GLOBAL PARENT,,44,LB,44
00010,CIN2,DP040,DP040,DP040-B1,2026,7,27,2026-07-04 00:00:00,19.9584,323917,"S-One/SOLP Georgia, Atlanta, GA",319906,S-One Labels - GLOBAL PARENT,,44,LB,44
00010,CIN2,DP040,DP040,DP040-B1,2026,7,27,2026-07-04 00:00:00,19.9584,323918,"S-One/SOLP Pennsylvania, Harrisburg, PA",319906,S-One Labels - GLOBAL PARENT,,44,LB,44
00010,CIN2,DP040,DP040,DP040-B1,2026,7,27,2026-07-04 00:00:00,19.9584,328284,"S-One/ SOLP US Texas UPS, Fort Worth, TX",319906,S-One Labels - GLOBAL PARENT,,44,LB,44
00010,CIN2,DPI8600,DPI8600,DPI8600-FD,2026,7,27,2026-07-04 00:00:00,43.3188,287283,"Wausau Coated - Wausau, WI",290604,Wausau Coated - Global Parent,,95.5,LB,95.5
00010,CIN2,DPI8600,DPI8600,DPI8600-PL,2026,7,27,2026-07-04 00:00:00,7.7112,287283,"Wausau Coated - Wausau, WI",290604,Wausau Coated - Global Parent,,17,LB,17
00010,CIN2,KHI205,KHI205,KHI205-FD,2026,7,27,2026-07-04 00:00:00,323.19,23212,"KHI Coatings - Oxford, MI",23212,"KHI Coatings - Oxford, MI",,712.5,LB,712.5
