Order Company,Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,Order Number,Next Status,Year,Month,Promised Ship Date,Ordered Quantity KGs,Revenue Business Unit,Customer Code,Customer Name,Global Parent,Global Parent Name,TM Name,Country Name,Ordered Quantity,Ordering Unit of Measure,Ordered Quantity LBs,Open Indicator
00010,        CIN2,251194NX,251194NX,251194NX-PL,2638098,999,2026,3,2026-03-02 00:00:00,18.1437,10230,291971,"RTA (Soluciones del Futuro) - Miami, FL",291971,"RTA (Soluciones del Futuro) - Miami, FL",Dave Jeffers,United States,1.00,PL,40,N
00010,        CIN2,MP04422R,MP04422R,MP04422R-FD,2608667,999,2026,3,2026-03-02 00:00:00,1723.6512,10230,329175,"Tekni-plex - Madison, WI",339215,Tekni-Plex - Global Parent,Brad Durden,United States,8.00,DR,3800,N
00010,        CIN2,MP48525R,MP48525R,MP48525R-T2,2633661,999,2026,3,2026-03-02 00:00:00,1995.8066,10230,304227,"Ahlstrom-Munksjo-Rhinelander,WI(Phillip)",304253,Ahlstrom-Munksjo - Global Parent,Brad Durden,United States,2.00,TO,4400,N
00020,        AUBA,251194NX,251194NX.E,251194NX.E-P1,26000337,999,2026,3,2026-03-02 00:00:00,480,20230,49118,Soconomar (X) Milano IT,290539,Soconomar - Global Parent,Krist Vanderstiggel,Italy,1.00,PA,1058.2188,N
00010,        CIN2,MP2960,MP2960,MP2960-T2,2584451,999,2026,3,2026-03-03 00:00:00,1995.8066,10240,294107,"BGF Industries - Altavista, VA",294107,"BGF Industries - Altavista, VA",Samuel Hankins,United States,2.00,TO,4400,N
00010,        CIN2,MP4983R,MP4983R,MP4983R-T2,2626669,999,2026,3,2026-03-03 00:00:00,14968.5495,10230,304227,"Ahlstrom-Munksjo-Rhinelander,WI(Phillip)",304253,Ahlstrom-Munksjo - Global Parent,Brad Durden,United States,15.00,TO,33000,N
00010,        CIN2,MP4983R,MP4983R,MP4983R-T3,2558494,999,2026,3,2026-03-03 00:00:00,15921.093499999999,10230,28093,"Oliver-Tolas Health - Hamilton, OH",290128,Oliver Tolas - Global Parent,Brad Durden,United States,13.00,TO,35100,N
00010,        CIN2,251194NX,251194NX,251194NX-PL,2637907,999,2026,3,2026-03-04 00:00:00,18.1437,10230,288600,"Comprint Máquinas - Sao Paulo, SP",309091,Comprint - Global Parent,Dave Jeffers,Brazil,1.00,PL,40,N
00010,        CIN2,MFP1853R,MFP1853R,MFP1853R-FD,2637875,999,2026,3,2026-03-04 00:00:00,204.1166,10230,337052,"Utopia - Mukwonago,WI",290497,Utopia - Global Parent,Dave Jeffers,United States,1.00,DR,450,N
00010,        CIN2,MFP1883,MFP1883,MFP1883-FD,2626574,999,2026,3,2026-03-04 00:00:00,1292.7384,10220,336657,"O-I, Plant - Auburn, NY",340177,"O-I, Inc. - Global Parent",Bryan Fuka,United States,6.00,DR,2850,N
