Order Company,Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,Order Number,Next Status,Year,Month,Promised Ship Date,Ordered Quantity KGs,Revenue Business Unit,Customer Code,Customer Name,Global Parent,Global Parent Name,TM Name,Country Name,Ordered Quantity,Ordering Unit of Measure,Ordered Quantity LBs,Open Indicator
00030,SING,JS168,JS168.S,JS168.S-TL,2551748,999,2025,11,2025-11-03 00:00:00,10000,SING,338064,TVS SCS SINGAPORE PTE LTD,338064,TVS SCS SINGAPORE PTE LTD,,Singapore,10.00,TO,22046.225,N
00030,SING,JS168,JS168.S,JS168.S-TL,2551750,999,2025,11,2025-11-03 00:00:00,2000,SING,338064,TVS SCS SINGAPORE PTE LTD,338064,TVS SCS SINGAPORE PTE LTD,,Singapore,2.00,TO,4409.245,N
00030,SING,JS168,JS168.S,JS168.S-TL,2551769,999,2025,11,2025-11-03 00:00:00,5000,SING,338064,TVS SCS SINGAPORE PTE LTD,338064,TVS SCS SINGAPORE PTE LTD,,Singapore,5.00,TO,11023.1125,N
00030,SING,JS168,JS168.S,JS168.S-TL,2551811,999,2025,11,2025-11-03 00:00:00,7000,SING,338064,TVS SCS SINGAPORE PTE LTD,338064,TVS SCS SINGAPORE PTE LTD,,Singapore,7.00,TO,15432.3575,N
00030,SNG4,BRIJS2,BRIJS2.S,BRIJS2.S,2549621,999,2025,11,2025-11-03 00:00:00,400,SNG4,26227,Singapore Manufacturing,26227,Singapore Manufacturing,,Singapore,400.00,KG,881.84,N
00030,SNG4,BRIJS20,BRIJS20.S,BRIJS20.S,2549622,999,2025,11,2025-11-03 00:00:00,400,SNG4,26227,Singapore Manufacturing,26227,Singapore Manufacturing,,Singapore,400.00,KG,881.84,N
00030,SNG4,ME87235,ME87235.S,ME87235.S-T2,2522535,999,2025,11,2025-11-03 00:00:00,4000,30220,289459,Kelly Technology - China(Kelly Shanghai),290132,Kelly Chemical (China) - Global Parent,Robin Li,China,4.00,TO,8818.49,N
00030,SNG4,ME91240G,ME91240G.S,ME91240G.S-OP,2536050,999,2025,11,2025-11-03 00:00:00,200,30220,291049,Lautan Luas Tbk - Indonesia,305921,Lautan - Global Parent,Rohan Aranjo,Indonesia,1.00,DR,440.9245,N
00030,SNG4,ME91240G,ME91240G.S,ME91240G.S-PD,2522535,999,2025,11,2025-11-03 00:00:00,600,30220,289459,Kelly Technology - China(Kelly Shanghai),290132,Kelly Chemical (China) - Global Parent,Robin Li,China,3.00,DR,1322.7735,N
00030,SNG4,ME91735,ME91735.S,ME91735.S-TL,2515688,999,2025,11,2025-11-03 00:00:00,20000,30200,300385,Michelman New Material - China,291477,Michelman Asia-Pacific - Global Parent,,China,20.00,TO,44092.45,N
