Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,Commodity Class,Sub Class,Master Planning Family,Safety Stock,Shelf Life,Stock Type,GL Category,Leadtime Level,Leadtime MFG,Location,Lot Number,Status,Quantity On Hand,Primary UOM,Hard Commit,A1 Cost,B1 Cost,C1 Cost,C2 Cost,Lot Number1,Supplier Lot Number,On Hand Date,Expiration Date Month,TIME
SNG4,1000TL,1000TL.S,1000TL.S,PKG,PKP,PKG,0,730,D,IN30,9,18,"",XX,"",188,EA,40,$28200,$0,$0,$0,XX,"",2024-10-04 00:00:00,2026-10-22 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,PKG,PKP,PKG,0,730,D,IN30,9,18,"",XX,"",188,EA,40,$28200,$0,$0,$0,XX,"",2024-10-22 00:00:00,2026-10-22 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,PKG,PKP,PKG,0,730,D,IN30,9,18,"",XX,"",188,EA,40,$28200,$0,$0,$0,XX,XX,2026-03-18 00:00:00,2028-03-17 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,PKG,PKP,PKG,0,730,D,IN30,9,18,"",XX,"",188,EA,40,$28200,$0,$0,$0,XX,XX,2026-03-25 00:00:00,2028-03-24 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,PKG,PKP,PKG,0,730,D,IN30,9,18,"",XX,"",188,EA,40,$28200,$0,$0,$0,XX,XX,2026-04-01 00:00:00,2028-03-31 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,PKG,PKP,PKG,0,730,D,IN30,9,18,"",XX,"",188,EA,40,$28200,$0,$0,$0,XX,XX,2026-04-04 00:00:00,2028-04-03 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,PKG,PKP,PKG,0,730,D,IN30,9,18,"",XX,"",188,EA,40,$28200,$0,$0,$0,XX,XX,2026-04-16 00:00:00,2028-04-15 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,PKG,PKP,PKG,0,730,D,IN30,9,18,"",XX,"",188,EA,40,$28200,$0,$0,$0,XX,XX,2026-04-20 00:00:00,2028-04-19 00:00:00,2026-07-14 00:00:00
CIN2,100FGK,100FGK,100FGK,SUR,SAN,REC,13000,540,P,IN30,42,49,F44,618984,"",14000,LB,0,$65520,$0,$0,$0,618984,0913R00057,2026-05-19 00:00:00,2027-06-22 00:00:00,2026-07-14 00:00:00
CIN2,100FGK,100FGK,100FGK,SUR,SAN,REC,13000,540,P,IN30,42,49,F44,619589,"",12000,LB,0,$56160,$0,$0,$0,619589,0913R00057,2026-07-07 00:00:00,2027-06-22 00:00:00,2026-07-14 00:00:00
CIN2,100FGK,100FGK,100FGK,SUR,SAN,REC,13000,540,P,IN30,42,49,F44,619590,"",2000,LB,0,$9360,$0,$0,$0,619590,0913R01428,2026-07-07 00:00:00,2027-11-04 00:00:00,2026-07-14 00:00:00
CINC,100FGK,100FGK,100FGK,SUR,SAN,REC,0,540,P,IN30,1,49,D0211,618433,"",1961,LB,0,$9177,$0,$0,$0,618433,0913R00057,2026-04-09 00:00:00,2027-06-22 00:00:00,2026-07-14 00:00:00
CIN2,104DPM,104DPM,104DPM,WET,WAO,RCB,70,1825,P,IN30,35,42,G360105B,616817,"",24,LB,0,$192,$0,$0,$0,616817,UC25513817,2025-12-10 00:00:00,2030-06-11 00:00:00,2026-07-14 00:00:00
CIN2,104DPM,104DPM,104DPM,WET,WAO,RCB,70,1825,P,IN30,35,42,G360105B,617707,"",400,LB,0,$3209,$0,$0,$0,617707,UC25B14546,2026-02-18 00:00:00,2031-02-17 00:00:00,2026-07-14 00:00:00
