Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,Lot Number,Lot Number1,Supplier Lot Number,On Hand Date,Expiration Date Month,TIME
SNG4,1000TL,1000TL.S,1000TL.S,XX,XX,"",2024-10-04 00:00:00,2026-10-22 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,XX,XX,"",2024-10-22 00:00:00,2026-10-22 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,XX,XX,XX,2026-03-18 00:00:00,2028-03-17 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,XX,XX,XX,2026-03-25 00:00:00,2028-03-24 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,XX,XX,XX,2026-04-01 00:00:00,2028-03-31 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,XX,XX,XX,2026-04-04 00:00:00,2028-04-03 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,XX,XX,XX,2026-04-16 00:00:00,2028-04-15 00:00:00,2026-07-14 00:00:00
SNG4,1000TL,1000TL.S,1000TL.S,XX,XX,XX,2026-04-20 00:00:00,2028-04-19 00:00:00,2026-07-14 00:00:00
CIN2,100FGK,100FGK,100FGK,618984,618984,0913R00057,2026-05-19 00:00:00,2027-06-22 00:00:00,2026-07-14 00:00:00
CIN2,100FGK,100FGK,100FGK,619589,619589,0913R00057,2026-07-07 00:00:00,2027-06-22 00:00:00,2026-07-14 00:00:00
CIN2,100FGK,100FGK,100FGK,619590,619590,0913R01428,2026-07-07 00:00:00,2027-11-04 00:00:00,2026-07-14 00:00:00
CINC,100FGK,100FGK,100FGK,618433,618433,0913R00057,2026-04-09 00:00:00,2027-06-22 00:00:00,2026-07-14 00:00:00
CIN2,104DPM,104DPM,104DPM,616817,616817,UC25513817,2025-12-10 00:00:00,2030-06-11 00:00:00,2026-07-14 00:00:00
CIN2,104DPM,104DPM,104DPM,617707,617707,UC25B14546,2026-02-18 00:00:00,2031-02-17 00:00:00,2026-07-14 00:00:00
CIN2,104DPM,104DPM,104DPM,618048,618048,UC25B14547,2026-03-16 00:00:00,2030-11-19 00:00:00,2026-07-14 00:00:00
AUBA,104DPM,104DPM.E,104DPM.E,603660,603660,UC21C08432,2023-02-17 00:00:00,2026-04-10 00:00:00,2026-07-14 00:00:00
SING,104DPM,104DPM.S,104DPM.S,617918,617918,UC25213417,2026-03-06 00:00:00,2030-03-01 00:00:00,2026-07-14 00:00:00
SING,104DPM,104DPM.S,104DPM.S,618554,618554,UC25B14547,2026-04-16 00:00:00,2030-11-19 00:00:00,2026-07-14 00:00:00
CINC,104PA,104PA,104PA,611207,611207,UC24712631,2024-09-26 00:00:00,2029-07-24 00:00:00,2026-07-14 00:00:00
AUBA,104PA,104PA.E,104PA.E,610662,610662,NC23528047,2024-08-20 00:00:00,2028-04-13 00:00:00,2026-07-14 00:00:00
SING,104PA,104PA.S,104PA.S,611047,611047,UC23610940,2024-09-17 00:00:00,2028-06-29 00:00:00,2026-07-14 00:00:00
