Order Company,Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,Order Number,Order Line,Customer PO,Lot Number,Hold Orders Code,Last Status,Next Status,Primary Quantity Ordered,Primary UOM,Secondary Quantity Ordered,Secondary UOM,Order Date,Promised Ship Date,Scheduled Pick Date,Customer Code,Customer Name,Order Type
00010,CIN2,211001PX,211001PX.E,211001PX.E-PD,2734359,2,Sample-30787,"",OC,530,535,210,KG,1,DR,2026-07-02 00:00:00,2026-07-21 00:00:00,2026-07-21 00:00:00,293866,"Mimir Flexo - Troy, MO",SA
00030,SNG4,211018IX,211018IX.S,211018IX.S-OP,2722823,1,2026-MB-103,"",C1,525,530,12000,KG,60,DR,2026-06-17 00:00:00,2026-09-03 00:00:00,2026-09-03 00:00:00,289504,GR KOREA LTD (Formerly OCK) - KOREA,S4
00020,AUBA,221151PX,221151PX.E,221151PX.E-PL,26001000,1,PO26000150,4581740,"",900,580,18,KG,1,PL,2026-05-26 00:00:00,2026-07-06 00:00:00,2026-07-06 00:00:00,361450,Aimplas (S Tipa IL) Valencia ES,S4
00020,AUBA,221255PX,221255PX.E,221255PX.E-PL,26001121,1,POLPDE0000360,4582777,"",900,560,486,KG,27,PL,2026-06-11 00:00:00,2026-07-15 00:00:00,2026-07-15 00:00:00,336662,S-One Labels (S) Butzbach DE,S4
00020,AUBA,221255PX,221255PX.E,221255PX.E-PL,26001155,4,POLPDE0000362,4582999,"",900,560,486,KG,27,PL,2026-06-18 00:00:00,2026-07-15 00:00:00,2026-07-15 00:00:00,336662,S-One Labels (S) Butzbach DE,S4
00010,CIN2,227142X,227142X,227142X-T3,2692526,2,4535327555,"","",535,540,40500,LB,15,TO,2026-05-08 00:00:00,2026-07-23 00:00:00,2026-07-23 00:00:00,340926,"Solenis (Diversey) - Florence, KY",S4
00010,CIN2,227142X,227142X,227142X-T3,2734579,4,4535410067,"","",535,540,40500,LB,15,TO,2026-07-02 00:00:00,2026-08-26 00:00:00,2026-08-26 00:00:00,340926,"Solenis (Diversey) - Florence, KY",S4
00010,CINC,227158X,227158X,227158X,2727576,2,4535395617,"","",535,540,44000,LB,44000,LB,2026-06-23 00:00:00,2026-07-27 00:00:00,2026-07-27 00:00:00,340926,"Solenis (Diversey) - Florence, KY",S4
00010,CINC,227158X,227158X,227158X,2743388,1,4535425818,"","",525,530,44000,LB,44000,LB,2026-07-14 00:00:00,2026-08-11 00:00:00,2026-08-11 00:00:00,340926,"Solenis (Diversey) - Florence, KY",S4
00020,AUBA,231043PX,231043PX.E,231043PX.E-TO,26001185,1,4001421,"","",535,540,24000,KG,24,TO,2026-06-24 00:00:00,2026-08-26 00:00:00,2026-08-26 00:00:00,321432,Transportes Davi (S) Barcelona ES,S4
00020,AUBA,231043PX,231043PX.E,231043PX.E-TO,26001315,1,4001438,"","",535,540,1000,KG,1,TO,2026-07-14 00:00:00,2026-09-09 00:00:00,2026-09-09 00:00:00,321432,Transportes Davi (S) Barcelona ES,S4
00020,AUBA,231100PX,231100PX.E,231100PX.E-PL,26001305,1,209129,"",PN,900,535,18,KG,1,PL,2026-07-10 00:00:00,2026-07-23 00:00:00,2026-07-23 00:00:00,295623,Safic UK (S) CHESHIRE GB,S4
00030,SNG4,231255NX,231255NX.S,231255NX.S-OP,2737890,1,OP-178711,"","",525,530,8000,KG,40,DR,2026-07-07 00:00:00,2026-10-23 00:00:00,2026-10-23 00:00:00,300385,Michelman New Material - China,S5
00020,AUBA,231316PX,231316PX.E,231316PX.E-PD,26001212,3,OP- 178535,4583477,"",900,550,200,KG,1,DR,2026-06-29 00:00:00,2026-07-17 00:00:00,2026-07-17 00:00:00,312396,Michelman (X) Shanghai PC,S5
00020,AUBA,231316PX,231316PX.E,231316PX.E-PD,26001252,2,PO178535-2,4583477,"",900,550,760,KG,4,DR,2026-07-02 00:00:00,2026-07-17 00:00:00,2026-07-17 00:00:00,312396,Michelman (X) Shanghai PC,S5
