Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,WO Number,WO Status,Order Date,Start Date,Completed Date,Quantity Requested,Quantity Completed,Unit of Measure,Component Branch,Component 2nd Item Number,Ordered Quantity,Issued Quantity,Component UOM,Requested Date
AUBA,161107PX,161107PX.E,161107PX.E,4583972,35,2026-07-09 00:00:00,2026-07-16 00:00:00,,10000,0,KG,        AUBA,1000TO.E,10,0,EA,2026-07-16 00:00:00
AUBA,161107PX,161107PX.E,161107PX.E,4583972,35,2026-07-09 00:00:00,2026-07-16 00:00:00,,10000,0,KG,        AUBA,DMEA.E,419,0,KG,2026-07-15 00:00:00
AUBA,161107PX,161107PX.E,161107PX.E,4583972,35,2026-07-09 00:00:00,2026-07-16 00:00:00,,10000,0,KG,        AUBA,ESC5200.E,2000,0,KG,2026-07-15 00:00:00
AUBA,161107PX,161107PX.E,161107PX.E,4583972,35,2026-07-09 00:00:00,2026-07-16 00:00:00,,10000,0,KG,        AUBA,SH2O.E,7581,0,KG,2026-07-15 00:00:00
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB,        CINC,BRIJS2,20,20,LB,2026-07-14 00:00:00
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB,        CINC,DEEA50,23,23,LB,2026-07-15 00:00:00
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB,        CINC,DIH2O,277,276,LB,2026-07-15 00:00:00
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB,        CINC,EM221,11,11,LB,2026-07-14 00:00:00
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB,        CINC,GLUT50,1,0,LB,2026-07-14 00:00:00
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB,        CINC,MD353D,151,152,LB,2026-07-14 00:00:00
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB,        CINC,NEO2512,16,16,LB,2026-07-14 00:00:00
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB,        CINC,SODMET,1,1,LB,2026-07-14 00:00:00
SING,211018IX,211018IX.S,211018IX.S,4584044,20,2026-07-10 00:00:00,2026-07-20 00:00:00,,4880,0,KG,        SING,A2290.S,83,0,KG,2026-07-18 00:00:00
SING,211018IX,211018IX.S,211018IX.S,4584044,20,2026-07-10 00:00:00,2026-07-20 00:00:00,,4880,0,KG,        SING,BRIJS2.S,138,0,KG,2026-07-16 00:00:00
SING,211018IX,211018IX.S,211018IX.S,4584044,20,2026-07-10 00:00:00,2026-07-20 00:00:00,,4880,0,KG,        SING,DMEA.S,110,0,KG,2026-07-20 00:00:00
SING,211018IX,211018IX.S,211018IX.S,4584044,20,2026-07-10 00:00:00,2026-07-20 00:00:00,,4880,0,KG,        SING,NEO2512.S,172,0,KG,2026-09-19 00:00:00
SING,211018IX,211018IX.S,211018IX.S,4584044,20,2026-07-10 00:00:00,2026-07-20 00:00:00,,4880,0,KG,        SING,PB3000.S,1314,0,KG,2026-07-20 00:00:00
