Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,WO Number,WO Status,Order Date,Start Date,Completed Date,Quantity Requested,Quantity Completed,Unit of Measure
AUBA,161107PX,161107PX.E,161107PX.E,4583972,35,2026-07-09 00:00:00,2026-07-16 00:00:00,,10000,0,KG
CINC,181139INT,181139INT,181139INT,4583787,90,2026-07-06 00:00:00,2026-07-15 00:00:00,,500,0,LB
SING,211018IX,211018IX.S,211018IX.S,4584044,20,2026-07-10 00:00:00,2026-07-20 00:00:00,,4880,0,KG
CINC,227142X,227142X,227142X,4580948,32,2026-05-11 00:00:00,2026-07-16 00:00:00,,45000,0,LB
CINC,227142X,227142X,227142X,4583788,20,2026-07-06 00:00:00,2026-08-19 00:00:00,,45000,0,LB
CINC,227142X,227142X,227142X-T3,4580949,20,2026-05-11 00:00:00,2026-07-21 00:00:00,,16,0,TO
CINC,227142X,227142X,227142X-T3,4583789,20,2026-07-06 00:00:00,2026-08-24 00:00:00,,16,0,TO
CINC,227158X,227158X,227158X,4583658,30,2026-07-02 00:00:00,2026-07-22 00:00:00,,45000,0,LB
AUBA,231043PX,231043PX.E,231043PX.E,4583191,20,2026-06-24 00:00:00,2026-08-16 00:00:00,,25500,0,KG
AUBA,231043PX,231043PX.E,231043PX.E-TO,4583192,20,2026-06-24 00:00:00,2026-08-17 00:00:00,,25,0,TO
AUBA,231135NX,231135NX.E,231135NX.E,4582002,20,2026-06-01 00:00:00,2026-08-05 00:00:00,,17900,0,KG
AUBA,231135NX,231135NX.E,231135NX.E,4583601,20,2026-07-01 00:00:00,2026-09-06 00:00:00,,17900,0,KG
AUBA,231316PX,231316PX.E,231316PX.E,4584177,20,2026-07-14 00:00:00,2026-07-28 00:00:00,,120,0,KG
AUBA,231316PX,231316PX.E,231316PX.E-PL,4584178,20,2026-07-14 00:00:00,2026-07-28 00:00:00,,4,0,PL
CIN2,241194PX,241194PX,241194PX,4583485,32,2026-06-30 00:00:00,2026-07-17 00:00:00,,5900,0,LB
CIN2,241194PX,241194PX,241194PX-FD,4583486,20,2026-06-30 00:00:00,2026-07-20 00:00:00,,12,0,DR
CIN2,2427,2427,2427,4583207,35,2026-06-24 00:00:00,2026-07-15 00:00:00,,300,0,LB
CIN2,251194NX,251194NX,251194NX,4583989,32,2026-07-09 00:00:00,2026-07-24 00:00:00,,1920,0,LB
CIN2,251194NX,251194NX,251194NX-PL,4583990,20,2026-07-09 00:00:00,2026-07-27 00:00:00,,48,0,PL
CIN2,26006,26006,26006,4583208,20,2026-06-24 00:00:00,2026-07-20 00:00:00,,3600,0,LB
CIN2,26006,26006,26006-FD,4583209,20,2026-06-24 00:00:00,2026-07-21 00:00:00,,8,0,DR
CINC,261103PX,261103PX,261103PX,4584124,35,2026-07-13 00:00:00,2026-07-15 00:00:00,,400,0,LB
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583884,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583885,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583886,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583887,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583888,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583889,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583890,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583891,32,2026-07-08 00:00:00,2026-07-15 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583892,20,2026-07-08 00:00:00,2026-07-16 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583893,20,2026-07-08 00:00:00,2026-07-16 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583894,20,2026-07-08 00:00:00,2026-07-16 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583895,20,2026-07-08 00:00:00,2026-07-16 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583896,20,2026-07-08 00:00:00,2026-07-16 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583897,20,2026-07-08 00:00:00,2026-07-16 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583898,20,2026-07-08 00:00:00,2026-07-16 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4583899,20,2026-07-08 00:00:00,2026-07-16 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4584155,20,2026-07-14 00:00:00,2026-07-17 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4584156,20,2026-07-14 00:00:00,2026-07-17 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4584157,20,2026-07-14 00:00:00,2026-07-17 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4584158,20,2026-07-14 00:00:00,2026-07-17 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4584159,20,2026-07-14 00:00:00,2026-07-17 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4584160,20,2026-07-14 00:00:00,2026-07-17 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4584161,20,2026-07-14 00:00:00,2026-07-17 00:00:00,,1200,0,KG
SING,AMAZONP,AMAZONP.S,AMAZONP.S,4584162,20,2026-07-14 00:00:00,2026-07-17 00:00:00,,1200,0,KG
CINC,BLND550GM,BLND550GM,BLND550GM,4584125,32,2026-07-13 00:00:00,2026-07-17 00:00:00,,44000,0,LB
CINC,BOILOUT,BOILOUT,BOILOUT,4582894,35,2026-06-17 00:00:00,2026-07-21 00:00:00,,44000,0,LB
CINC,BOILOUT,BOILOUT,BOILOUT,4584185,35,2026-07-14 00:00:00,2026-07-22 00:00:00,,28000,0,LB
CINC,BOILOUT,BOILOUT,BOILOUT,4583849,35,2026-07-07 00:00:00,2026-07-28 00:00:00,,44000,0,LB
AUBA,BOILOUT,BOILOUT.E,BOILOUT.E,4584039,35,2026-07-10 00:00:00,2026-07-15 00:00:00,,10200,0,KG
AUBA,BOILOUT,BOILOUT.E,BOILOUT.E,4583844,20,2026-07-07 00:00:00,2026-07-21 00:00:00,,10000,0,KG
AUBA,BOILOUT,BOILOUT.E,BOILOUT.E,4584173,20,2026-07-14 00:00:00,2026-07-24 00:00:00,,8500,0,KG
SING,BOILOUT,BOILOUT.S,BOILOUT.S,4584043,32,2026-07-10 00:00:00,2026-07-17 00:00:00,,6000,0,KG
CIN2,CLG2100,CLG2100,CLG2100-FD,4583851,35,2026-07-07 00:00:00,2026-07-15 00:00:00,,8,0,DR
AUBA,DF400,DF400.E,DF400.E,4584093,20,2026-07-13 00:00:00,2026-07-24 00:00:00,,15,0,KG
AUBA,DF400,DF400.E,DF400.E-PL,4584094,20,2026-07-13 00:00:00,2026-07-24 00:00:00,,1,0,PL
AUBA,DG520IJ,DG520IJ.E,DG520IJ.E,4583753,20,2026-07-06 00:00:00,2026-08-24 00:00:00,,3200,0,KG
AUBA,DG520IJ,DG520IJ.E,DG520IJ.E-TO,4583757,20,2026-07-06 00:00:00,2026-08-25 00:00:00,,4,0,TO
CINC,DMEA45,DMEA45,DMEA45,4584186,35,2026-07-14 00:00:00,2026-07-14 00:00:00,,8720,0,LB
CIN2,DP040,DP040,DP040,4584187,30,2026-07-14 00:00:00,2026-07-22 00:00:00,,3000,0,LB
CIN2,DP040,DP040,DP040-B1,4584188,20,2026-07-14 00:00:00,2026-07-29 00:00:00,,68,0,B1
AUBA,DP040,DP040.E,DP040.E,4582001,20,2026-06-01 00:00:00,2026-08-04 00:00:00,,6000,0,KG
CINC,DP050,DP050,DP050,4583327,32,2026-06-26 00:00:00,2026-07-15 00:00:00,,20700,0,LB
CINC,DP050,DP050,DP050,4583918,32,2026-07-08 00:00:00,2026-07-20 00:00:00,,20700,0,LB
CINC,DP050,DP050,DP050,4583659,32,2026-07-02 00:00:00,2026-07-23 00:00:00,,20700,0,LB
CIN2,DP050,DP050,DP050-P2,4583389,20,2026-06-29 00:00:00,2026-07-15 00:00:00,,4,0,PA
CIN2,DP050,DP050,DP050-P2,4583854,20,2026-07-07 00:00:00,2026-07-23 00:00:00,,3,0,PA
CIN2,DP050,DP050,DP050-P2,4584128,20,2026-07-13 00:00:00,2026-07-28 00:00:00,,4,0,PA
CINC,DP050,DP050,DP050-PL,4583275,35,2026-06-25 00:00:00,2026-07-21 00:00:00,,517,0,PL
CINC,DP050,DP050,DP050-PL,4583919,20,2026-07-08 00:00:00,2026-07-28 00:00:00,,517,0,PL
AUBA,DP050,DP050.E,DP050.E,4583597,20,2026-07-01 00:00:00,2026-08-24 00:00:00,,20000,0,KG
SING,DP050,DP050.S,DP050.S,4584088,20,2026-07-13 00:00:00,2026-07-20 00:00:00,,8800,0,KG
SING,DP050,DP050.S,DP050.S-PL,4584084,30,2026-07-13 00:00:00,2026-07-17 00:00:00,,194,0,PL
SING,DP050,DP050.S,DP050.S-PL,4584087,30,2026-07-13 00:00:00,2026-07-17 00:00:00,,28,0,PL
AUBA,DP060,DP060.E,DP060.E,4583600,20,2026-07-01 00:00:00,2026-09-02 00:00:00,,9600,0,KG
SING,DP060,DP060.S,DP060.S,4584041,32,2026-07-10 00:00:00,2026-07-14 00:00:00,,2000,0,KG
SING,DP060,DP060.S,DP060.S-PL,4584042,20,2026-07-10 00:00:00,2026-07-15 00:00:00,,115,0,PL
CIN2,DP680,DP680,DP680,4583214,20,2026-06-24 00:00:00,2026-07-22 00:00:00,,19800,0,LB
CIN2,DP680,DP680,DP680,4583920,20,2026-07-08 00:00:00,2026-07-29 00:00:00,,19800,0,LB
CIN2,DP680,DP680,DP680-B1,4583215,20,2026-06-24 00:00:00,2026-07-27 00:00:00,,450,0,B1
CIN2,DP680,DP680,DP680-B1,4583921,20,2026-07-08 00:00:00,2026-07-30 00:00:00,,450,0,B1
CIN2,DP680,DP680,DP680-P1,4583855,20,2026-07-07 00:00:00,2026-07-15 00:00:00,,1,0,PA
CIN2,DP680,DP680,DP680-P1,4583276,20,2026-06-25 00:00:00,2026-07-22 00:00:00,,1,0,PA
CIN2,DP680,DP680,DP680-P1,4584129,20,2026-07-13 00:00:00,2026-07-23 00:00:00,,2,0,PA
AUBA,DP680,DP680.E,DP680.E,4583598,20,2026-07-01 00:00:00,2026-08-31 00:00:00,,20000,0,KG
SING,DP680,DP680.S,DP680.S,4584089,20,2026-07-13 00:00:00,2026-07-21 00:00:00,,4000,0,KG
SING,DP680,DP680.S,DP680.S-B1,4584090,20,2026-07-13 00:00:00,2026-07-24 00:00:00,,200,0,B1
CIN2,DPI8004,DPI8004,DPI8004,4583660,30,2026-07-02 00:00:00,2026-07-17 00:00:00,,450,0,LB
CIN2,DPI8004,DPI8004,DPI8004-FD,4583661,20,2026-07-02 00:00:00,2026-07-20 00:00:00,,1,0,DR
CIN2,DPI8020,DPI8020,DPI8020,4583856,32,2026-07-07 00:00:00,2026-07-16 00:00:00,,4000,0,LB
CIN2,DPI8020,DPI8020,DPI8020-PL,4583857,20,2026-07-07 00:00:00,2026-07-22 00:00:00,,110,0,PL
AUBA,DPI8020,DPI8020.E,DPI8020.E,4583974,20,2026-07-09 00:00:00,2026-07-22 00:00:00,,5000,0,KG
AUBA,DPI8020,DPI8020.E,DPI8020.E-TO,4583975,20,2026-07-09 00:00:00,2026-07-22 00:00:00,,5,0,TO
CIN2,DPV9000,DPV9000,DPV9000,4583858,32,2026-07-07 00:00:00,2026-07-21 00:00:00,,5500,0,LB
CIN2,DPV9000,DPV9000,DPV9000-B1,4583391,35,2026-06-29 00:00:00,2026-07-22 00:00:00,,200,0,B1
CIN2,DPV9000,DPV9000,DPV9000-B1,4583859,20,2026-07-07 00:00:00,2026-07-29 00:00:00,,125,0,B1
CIN2,DPV9000,DPV9000,DPV9000-P1,4583392,20,2026-06-29 00:00:00,2026-07-15 00:00:00,,1,0,PA
CIN2,DPV9000,DPV9000,DPV9000-P1,4583860,20,2026-07-07 00:00:00,2026-07-23 00:00:00,,2,0,PA
AUBA,DPV9000,DPV9000.E,DPV9000.E,4582003,20,2026-06-01 00:00:00,2026-08-06 00:00:00,,22000,0,KG
AUBA,DPV9000,DPV9000.E,DPV9000.E,4583602,20,2026-07-01 00:00:00,2026-09-09 00:00:00,,22000,0,KG
CIN2,DPV9200,DPV9200,DPV9200,4584189,30,2026-07-14 00:00:00,2026-07-21 00:00:00,,2250,0,LB
CIN2,DPV9200,DPV9200,DPV9200-PL,4584190,20,2026-07-14 00:00:00,2026-07-22 00:00:00,,53,0,PL
AUBA,DPV9200,DPV9200.E,DPV9200.E,4583603,20,2026-07-01 00:00:00,2026-09-09 00:00:00,,20000,0,KG
SING,DPV9200,DPV9200.S,DPV9200.S,4583737,20,2026-07-06 00:00:00,2026-07-06 00:00:00,,30,0,KG
CINC,DTOX1,DTOX1,DTOX1,4584130,20,2026-07-13 00:00:00,2026-07-29 00:00:00,,30,0,LB
CINC,DTOX1,DTOX1,DTOX1-PL,4584131,20,2026-07-13 00:00:00,2026-07-30 00:00:00,,1,0,PL
CINC,DYNA3535PF,DYNA3535PF,DYNA3535PF,4583494,35,2026-06-30 00:00:00,2026-07-24 00:00:00,,5700,0,LB
CINC,DYNA3535PF,DYNA3535PF,DYNA3535PF-FD,4583495,20,2026-06-30 00:00:00,2026-07-27 00:00:00,,12,0,DR
CINC,EC4000,EC4000,EC4000-T2,4583663,35,2026-07-02 00:00:00,2026-07-15 00:00:00,,12,0,TO
CINC,ECBOILOUT,ECBOILOUT,ECBOILOUT,4583922,35,2026-07-08 00:00:00,2026-07-15 00:00:00,,25000,0,LB
CINC,ECBOILOUT,ECBOILOUT,ECBOILOUT,4583991,35,2026-07-09 00:00:00,2026-07-20 00:00:00,,8000,0,LB
AUBA,EKF1402,EKF1402.E,EKF1402.E,4584174,20,2026-07-14 00:00:00,2026-07-27 00:00:00,,6000,0,KG
CIN2,FDCGN,FDCGN,FDCGN,4584048,20,2026-07-10 00:00:00,2026-07-23 00:00:00,,300,0,LB
CIN2,FDCRED,FDCRED,FDCRED-QT,4584191,35,2026-07-14 00:00:00,2026-07-20 00:00:00,,4,0,QT
AUBA,FLEXO41,FLEXO41.E,FLEXO41.E,4581735,20,2026-05-26 00:00:00,2026-08-02 00:00:00,,19700,0,KG
AUBA,FLEXO41,FLEXO41.E,FLEXO41.E-TO,4581736,20,2026-05-26 00:00:00,2026-08-04 00:00:00,,20,0,TO
AUBA,HL480,HL480.E,HL480.E,4582989,20,2026-06-19 00:00:00,2026-08-03 00:00:00,,4000,0,KG
AUBA,HL480,HL480.E,HL480.E,4583714,20,2026-07-03 00:00:00,2026-12-06 00:00:00,,6000,0,KG
