[o],[l],[coh],[dt],[pid],[usr],[job]
26001037,1,CTRL clean real-time confirm,6/1/2026 8:04:14 AM,EP42101,GLAMBERMON,CYRFLEUENP
26001037,1,CTRL clean real-time confirm,6/1/2026 8:04:17 AM,R42750,GLAMBERMON,CYRFLEUENP
26001059,1,EXTRA whole order absent 999/900,6/3/2026 10:53:43 AM,EP42101,GLAMBERMON,CYRFLEUENP
26001059,1,EXTRA whole order absent 999/900,6/3/2026 10:53:47 AM,R42750,GLAMBERMON,CYRFLEUENP
26001059,1,EXTRA whole order absent 999/900,6/3/2026 10:55:17 AM,EP42101,GLAMBERMON,CYRFLEUENP
26001059,1,EXTRA whole order absent 999/900,6/3/2026 10:55:21 AM,R42750,GLAMBERMON,CYRFLEUENP
26001153,3,MISMATCH 540 intermediate pick,6/19/2026 9:34:03 AM,EP42101,LTUFFEL,CYRFLEUENP
26001153,3,MISMATCH 540 intermediate pick,6/19/2026 9:34:05 AM,R42750,LTUFFEL,CYRFLEUENP
26001153,3,MISMATCH 540 intermediate pick,6/19/2026 11:37:14 AM,ER42950,SCHED,CYRFLEUENP
26001181,1,MISMATCH 525 intermediate pick,6/22/2026 3:53:56 PM,EP42101,GLAMBERMON,CYRFLEUENP
26001181,1,MISMATCH 525 intermediate pick,6/22/2026 3:53:59 PM,R42750,GLAMBERMON,CYRFLEUENP
26001181,1,MISMATCH 525 intermediate pick,6/23/2026 3:20:49 AM,ER42950,SCHED,CYRFLEUENP
26001181,1,MISMATCH 525 intermediate pick,6/23/2026 3:46:24 AM,ER42950,SCHED,CYRFLEUENP
26001181,1,MISMATCH 525 intermediate pick,6/24/2026 3:20:58 AM,ER42950,SCHED,CYRFLEUENP
26001181,1,MISMATCH 525 intermediate pick,6/24/2026 3:46:24 AM,ER42950,SCHED,CYRFLEUENP
26001182,4,MISMATCH min-540 in Cognos 540/900,7/9/2026 11:54:17 AM,EP42101,NATHALIEV,CYRFLEUENP
26001182,4,MISMATCH min-540 in Cognos 540/900,7/9/2026 11:54:20 AM,R42750,NATHALIEV,CYRFLEUENP
26001182,5,MISMATCH min-540 in Cognos 540/900,7/9/2026 11:54:17 AM,EP42101,NATHALIEV,CYRFLEUENP
26001182,5,MISMATCH min-540 in Cognos 540/900,7/9/2026 11:54:20 AM,R42750,NATHALIEV,CYRFLEUENP
2708703,1,MISMATCH 525 near-max pick,5/29/2026 7:39:56 PM,EP42101,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,5/29/2026 7:39:59 PM,R42750,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,6/2/2026 7:37:23 PM,EP42101,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,6/2/2026 7:37:27 PM,R42750,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,6/25/2026 12:57:08 PM,EP42101,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,6/25/2026 12:57:11 PM,R42750,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,6/25/2026 1:01:59 PM,EP42101,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,6/25/2026 1:02:02 PM,R42750,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,6/25/2026 1:13:43 PM,EP42101,BGOPALE,CYRFLSGENP
2708703,1,MISMATCH 525 near-max pick,6/25/2026 1:13:45 PM,R42750,BGOPALE,CYRFLSGENP
2710964,1,"CTRL matched, d540 hourly :50:08",6/1/2026 8:33:20 AM,EP42101,STEPHENDO,CYRFLUSENP
2710964,1,"CTRL matched, d540 hourly :50:08",6/1/2026 8:33:23 AM,R42750,STEPHENDO,CYRFLUSENP
2711439,1,"CTRL matched, d540 3:01 PM",6/2/2026 11:17:51 AM,EP42101,EMILYM,CYRFLSGENP
2711439,1,"CTRL matched, d540 3:01 PM",6/2/2026 11:17:54 AM,R42750,EMILYM,CYRFLSGENP
2713483,1,EXTRA sibling of 129-event line,6/4/2026 3:16:41 PM,EP42101,STEPHENDO,CYRFLUSENP
2713483,1,EXTRA sibling of 129-event line,6/4/2026 3:16:44 PM,R42750,STEPHENDO,CYRFLUSENP
2713483,1,EXTRA sibling of 129-event line,6/4/2026 3:17:39 PM,R42750,STEPHENDO,CYRFLUSENP
2713483,1,EXTRA sibling of 129-event line,6/4/2026 3:18:19 PM,EP42101,STEPHENDO,CYRFLUSENP
2713483,1,EXTRA sibling of 129-event line,6/4/2026 3:18:22 PM,R42750,STEPHENDO,CYRFLUSENP
