[o],[l],[dt],[pid],[usr]
26001037,1,6/1/2026 10:54:53 AM,ER42565,GLAMBERMON
26001059,1,6/4/2026 2:27:22 PM,ER42565,GLAMBERMON
26001059,1,6/8/2026 9:16:22 AM,EP42117,SBRADFER
26001059,1,6/8/2026 9:16:23 AM,EP42117,SBRADFER
26001153,3,6/22/2026 3:16:55 PM,ER42565,LTUFFEL
26001153,3,6/22/2026 3:26:04 PM,EP42118,SCHED
26001153,3,6/24/2026 8:43:04 AM,EP42101,SBODART
26001181,1,6/25/2026 1:09:43 PM,ER42565,GLAMBERMON
26001181,1,7/1/2026 3:23:27 PM,EP42101,DMOUSSEAU
26001181,1,7/1/2026 3:23:30 PM,R42750,DMOUSSEAU
26001181,1,7/2/2026 6:13:00 AM,EP42101,SBRADFER
26001181,1,7/2/2026 6:13:03 AM,R42750,SBRADFER
26001181,1,7/2/2026 10:42:03 AM,EP42101,DMOUSSEAU
26001181,1,7/2/2026 10:42:06 AM,R42750,DMOUSSEAU
26001181,1,7/3/2026 6:31:19 AM,EP42101,SBRADFER
26001181,1,7/3/2026 6:31:22 AM,R42750,SBRADFER
26001182,4,7/15/2026 10:07:08 AM,ER42565,LTUFFEL
26001182,4,7/15/2026 10:26:06 AM,EP42118,SCHED
26001182,5,7/15/2026 10:07:08 AM,ER42565,LTUFFEL
2708703,1,6/25/2026 1:14:58 PM,ER42565,BGOPALE
2710964,1,6/3/2026 9:50:08 AM,ER42565,SCHED
2710964,1,6/22/2026 1:20:10 AM,R42995,SCHED
2710964,1,6/22/2026 1:20:34 AM,R42750,SCHED
2710964,1,6/25/2026 9:53:12 AM,EP42101,LAKEIACH
2710964,1,6/25/2026 9:53:14 AM,R42750,LAKEIACH
2710964,1,6/27/2026 8:00:10 AM,EP42118,SCHED
2711439,1,6/2/2026 3:01:06 PM,ER42565,SCHED
2711439,1,6/2/2026 3:45:00 PM,EP42101,SCHEONG
2711439,1,6/2/2026 3:45:03 PM,R42750,SCHEONG
2711439,1,6/2/2026 3:46:49 PM,R42750,SCHEONG
2711439,1,6/2/2026 8:05:32 PM,EP42101,SCHEONG
2711439,1,6/5/2026 8:58:59 AM,R42750,SCHEONG
2711439,1,6/5/2026 9:56:57 AM,EP42101,SCHEONG
2711439,1,6/5/2026 9:57:02 AM,R42750,SCHEONG
2711439,1,6/5/2026 4:59:54 PM,EP42101,EMILYM
2711439,1,6/5/2026 5:00:12 PM,R42750,EMILYM
2713483,1,6/5/2026 8:31:05 AM,ER42565,STEPHENDO
2713483,2,6/5/2026 8:31:05 AM,ER42565,STEPHENDO
2713483,2,6/5/2026 2:45:56 PM,EP42101,STEPHENDO
2713483,2,6/5/2026 2:45:59 PM,R42750,STEPHENDO
2715940,17,6/8/2026 3:01:05 PM,ER42565,SCHED
2715940,18,6/8/2026 3:01:06 PM,ER42565,SCHED
2715940,23,6/8/2026 3:01:06 PM,ER42565,SCHED
2715940,26,6/8/2026 3:01:06 PM,ER42565,SCHED
2722060,1,6/16/2026 3:01:03 PM,ER42565,SCHED
2722060,1,6/17/2026 3:36:29 PM,EP42101,EMILYM
2722060,1,6/17/2026 3:36:48 PM,R42750,EMILYM
2722060,2,6/16/2026 3:01:03 PM,ER42565,SCHED
2722060,2,6/17/2026 3:36:29 PM,EP42101,EMILYM
2722060,2,6/17/2026 3:36:48 PM,R42750,EMILYM
2722060,3,6/16/2026 3:01:03 PM,ER42565,SCHED
2722060,3,6/17/2026 3:36:30 PM,EP42101,EMILYM
2722060,3,6/17/2026 3:36:48 PM,R42750,EMILYM
2724711,1,6/22/2026 8:50:05 AM,ER42565,SCHED
2724711,1,7/16/2026 6:38:21 AM,R42995,SCHED
2724711,1,7/16/2026 6:38:30 AM,R42750,SCHED
2726950,1,6/22/2026 3:48:29 PM,ER42565,DAVIDSI
2726950,2,6/22/2026 3:48:29 PM,ER42565,DAVIDSI
2726950,3,6/22/2026 3:48:29 PM,ER42565,DAVIDSI
2727544,1,6/23/2026 10:27:16 PM,ER42565,LAKEIACH
2727544,1,6/29/2026 1:20:15 AM,R42995,SCHED
2727544,1,6/29/2026 1:20:45 AM,R42750,SCHED
2727544,1,6/29/2026 11:28:21 AM,EP42101,STEPHENDO
2727544,1,6/29/2026 11:28:24 AM,R42750,STEPHENDO
2728566,1,7/1/2026 4:45:21 PM,EP42101,STEPHENDO
2728566,1,7/1/2026 4:45:24 PM,R42750,STEPHENDO
2728566,1,7/1/2026 4:51:49 PM,EP42101,STEPHENDO
2728566,1,7/1/2026 4:51:52 PM,R42750,STEPHENDO
