[o],[l],[last],[next],[dt],[pid]
26001153,3,900,525,6/19/2026 9:34:03 AM,EP42101
26001153,3,900,525,6/19/2026 9:34:05 AM,R42750
26001153,3,900,525,6/19/2026 11:37:14 AM,ER42950
26001153,3,900,530,6/19/2026 12:20:55 PM,ER42565
26001153,3,900,530,6/19/2026 12:25:17 PM,R42750
26001153,3,900,535,6/19/2026 1:28:43 PM,EP42040
26001153,3,900,535,6/20/2026 3:20:43 AM,ER42950
26001153,3,900,535,6/20/2026 3:46:10 AM,ER42950
26001153,3,900,535,6/21/2026 3:20:47 AM,ER42950
26001153,3,900,535,6/21/2026 3:46:01 AM,ER42950
26001153,3,900,535,6/22/2026 3:20:46 AM,ER42950
26001153,3,900,535,6/22/2026 3:46:07 AM,ER42950
26001153,3,900,535,6/22/2026 10:10:15 AM,R42750
26001153,3,900,535,6/22/2026 10:25:41 AM,ER42535
26001153,3,900,540,6/22/2026 3:16:55 PM,ER42565
26001153,3,900,540,6/22/2026 3:26:04 PM,EP42118
26001153,3,900,540,6/23/2026 3:20:42 AM,ER42950
26001153,3,900,540,6/23/2026 3:46:10 AM,ER42950
26001153,3,900,540,6/24/2026 3:20:49 AM,ER42950
26001153,3,900,540,6/24/2026 3:46:10 AM,ER42950
26001153,3,900,540,6/24/2026 8:43:04 AM,EP42101
26001153,3,900,545,6/24/2026 9:46:10 AM,EP4915
26001153,3,900,545,6/24/2026 9:48:45 AM,N4201360
26001153,3,900,550,6/24/2026 9:48:46 AM,ER42520
26001153,3,900,550,6/25/2026 3:20:49 AM,ER42950
26001153,3,900,550,6/25/2026 3:46:16 AM,ER42950
26001153,3,900,550,6/26/2026 3:20:46 AM,ER42950
26001153,3,900,550,6/26/2026 3:46:02 AM,ER42950
26001153,3,900,560,6/26/2026 9:23:05 AM,EP4205
26001153,3,900,560,6/26/2026 3:05:54 PM,EP42101
26001153,3,900,560,6/26/2026 3:05:57 PM,R42750
26001153,3,900,560,6/27/2026 3:20:44 AM,ER42950
26001153,3,900,560,6/27/2026 3:45:57 AM,ER42950
26001153,3,900,560,6/28/2026 3:20:40 AM,ER42950
26001153,3,900,560,6/28/2026 3:45:53 AM,ER42950
26001153,3,900,560,6/29/2026 3:20:39 AM,ER42950
26001153,3,900,560,6/29/2026 3:45:51 AM,ER42950
26001153,3,900,570,6/29/2026 10:38:04 AM,EP4205
26001153,3,900,580,6/30/2026 3:00:08 AM,ER4981
26001153,3,900,620,6/30/2026 3:04:10 PM,ER42565
26001153,3,900,999,6/30/2026 3:25:34 PM,EP42800
26001181,1,520,525,6/22/2026 3:53:56 PM,EP42101
26001181,1,520,525,6/22/2026 3:53:59 PM,R42750
26001181,1,520,525,6/23/2026 3:20:49 AM,ER42950
26001181,1,520,525,6/23/2026 3:46:24 AM,ER42950
26001181,1,520,525,6/24/2026 3:20:58 AM,ER42950
26001181,1,520,525,6/24/2026 3:46:24 AM,ER42950
26001181,1,525,530,6/24/2026 11:16:53 AM,EP42040
26001181,1,525,530,6/25/2026 3:20:57 AM,ER42950
26001181,1,525,530,6/25/2026 3:46:31 AM,ER42950
26001181,1,525,530,6/25/2026 8:18:47 AM,EP42101
26001181,1,525,530,6/25/2026 8:18:50 AM,R42750
26001181,1,525,530,6/25/2026 8:22:38 AM,R42750
26001181,1,525,530,6/25/2026 8:38:54 AM,R42750
26001181,1,530,535,6/25/2026 8:39:05 AM,EP42040
26001181,1,530,535,6/25/2026 11:02:49 AM,R42750
26001181,1,530,535,6/25/2026 12:32:58 PM,EP42101
26001181,1,530,535,6/25/2026 12:33:00 PM,R42750
26001181,1,530,535,6/25/2026 12:48:11 PM,ER42535
26001181,1,535,540,6/25/2026 1:09:43 PM,ER42565
26001181,1,535,540,6/26/2026 3:20:53 AM,ER42950
26001181,1,535,540,6/26/2026 3:46:17 AM,ER42950
26001181,1,535,540,6/27/2026 3:20:50 AM,ER42950
26001181,1,535,540,6/27/2026 3:46:11 AM,ER42950
26001181,1,535,540,6/28/2026 3:20:47 AM,ER42950
26001181,1,535,540,6/28/2026 3:46:04 AM,ER42950
26001181,1,535,540,6/29/2026 3:20:45 AM,ER42950
26001181,1,535,540,6/29/2026 3:46:00 AM,ER42950
26001181,1,535,540,6/30/2026 3:20:42 AM,ER42950
26001181,1,535,540,6/30/2026 3:46:03 AM,ER42950
26001181,1,535,540,7/1/2026 3:20:43 AM,ER42950
26001181,1,535,540,7/1/2026 3:46:08 AM,ER42950
26001181,1,535,540,7/1/2026 11:32:45 AM,ER42950
26001181,1,535,540,7/1/2026 3:23:27 PM,EP42101
26001181,1,535,540,7/1/2026 3:23:30 PM,R42750
26001181,1,535,540,7/2/2026 3:20:41 AM,ER42950
26001181,1,535,540,7/2/2026 3:46:02 AM,ER42950
26001181,1,540,545,7/2/2026 6:00:02 AM,EP4915
