16 Event Detail[pid],16 Event Detail[next_status],[n],[users],[jobs]
EP42101,525,36,"LAURAC, NATHALIEV, LTUFFEL, SCHEONG, STEPHENDO, MAGIC","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
ER42950,525,17,SCHED,"CYRFLEUENP, CYRFLUSENP"
R42750,525,39,"LAKEIACH, LTUFFEL, SCHED, NATHALIEV, MAGIC, STEPHENDO","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
R42995,525,1,SCHED,CYRFLUSENP
EP42040,530,3,"MICHELEVA, SBODART","CYRFLEUENP, CYRFLUSENP"
EP4210,530,1,ERICM,CYRFLUSWBP
EP42101,530,5,"LAURAC, SBODART, LDESJARDIN","CYRFLEUENP, CYRFLUSENP"
ER42565,530,10,"BGOPALE, LAKEIACH, KRISTINECO, STEPHENDO, NATHALIEV, LTUFFEL","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
ER42950,530,33,SCHED,"CYRFLEUENP, CYRFLUSENP"
R42750,530,12,"DMOUSSEAU, LDESJARDIN, SCHED, LTUFFEL","CYRFLEUENP, CYRFLUSENP"
EP42040,535,13,"BGOPALE, ERICM, DHOWE, LDESJARDIN","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
EP42101,535,3,DMOUSSEAU,CYRFLEUENP
ER42535,535,4,DMOUSSEAU,CYRFLEUENP
ER42950,535,30,"RBULIARD, SCHED","CYRFLEUENP, CYRFLUSENP"
R42750,535,8,"DMOUSSEAU, GLAMBERMON, SCHED","CYRFLEUENP, CYRFLUSENP"
EP42101,540,17,"EMILYM, LAKEIACH, SBRADFER, STEPHENDO, SBODART, SCHEONG","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
EP42117,540,2,SBRADFER,CYRFLEUENP
EP42118,540,3,SCHED,"CYRFLEUENP, CYRFLUSENP"
ER42565,540,23,"DAVIDSI, GLAMBERMON, LAKEIACH, SCHED, STEPHENDO, LTUFFEL","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
ER42950,540,344,"RBULIARD, SCHED","CYRFLEUENP, CYRFLUSENP"
R42750,540,20,"EMILYM, LAKEIACH, SBRADFER, STEPHENDO, SCHED, SCHEONG","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
R42995,540,3,SCHED,CYRFLUSENP
EP4915,545,11,"JBURCH1, SBRADFER","CYRFLEUENP, CYRFLUSENP"
N4201360,545,8,"JBURCH1, SBRADFER","CYRFLEUENP, CYRFLUSENP"
ER42520,550,11,"JBURCH1, SBRADFER","CYRFLEUENP, CYRFLUSENP"
ER42950,550,6,SCHED,CYRFLEUENP
R42750,550,3,"DMOUSSEAU, SBRADFER",CYRFLEUENP
EP42040,560,1,SBRADFER,CYRFLEUENP
EP4205,560,8,"EASYP, MCook","CYRFLEUENP, CYRFLUSENP, MCook"
EP42101,560,5,"DMOUSSEAU, STEPHENDO","CYRFLEUENP, CYRFLUSENP"
EP4915,560,9,"BGOPALE, EMILYM",CYRFLSGENP
ER42950,560,26,SCHED,CYRFLEUENP
R42750,560,6,"DMOUSSEAU, STEPHENDO","CYRFLEUENP, CYRFLUSENP"
EP4205,570,18,"BGOPALE, EASYP, DMOUSSEAU, MCook, EMILYM","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP, MCook"
ER4981,580,18,SCHED,"CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
ER42565,620,18,SCHED,"CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
EP42101,999,2,STEPHENDO,CYRFLUSENP
EP42800,999,18,"LORENAL, SCHED","CYRFLEUENP, CYRFLUSENP, CYRFLSGENP"
