P11 FX 2026 Summary[src],P11 FX 2026 Summary[code_from],P11 FX 2026 Summary[code_to],P11 FX 2026 Summary[n_rows],P11 FX 2026 Summary[min_date],P11 FX 2026 Summary[max_date]
CurrencyRatesTo,CNY,EUR,1460,2026-01-01,2029-12-30
CurrencyRatesTo,CNY,USD,1460,2026-01-01,2029-12-30
CurrencyRatesTo,EUR,EUR,1461,2026-01-01,2029-12-31
CurrencyRatesTo,EUR,USD,1460,2026-01-01,2029-12-30
CurrencyRatesTo,INR,EUR,1460,2026-01-01,2029-12-30
CurrencyRatesTo,INR,USD,1460,2026-01-01,2029-12-30
CurrencyRatesTo,JPY,USD,1460,2026-01-01,2029-12-30
CurrencyRatesTo,USD,EUR,1460,2026-01-01,2029-12-30
CurrencyRatesTo,USD,USD,1461,2026-01-01,2029-12-31
RatesToCXA,CNY,USD,1460,2026-01-01,2029-12-30
RatesToCXA,EUR,USD,1460,2026-01-01,2029-12-30
RatesToCXA,INR,USD,1460,2026-01-01,2029-12-30
RatesToCXA,JPY,USD,1460,2026-01-01,2029-12-30
RatesToCXA,SGD,USD,1460,2026-01-01,2029-12-30
RatesToCXA,USD,USD,1461,2026-01-01,2029-12-31
TbCurrencyRates,CNY,EUR,1460,2026-01-01,2029-12-30
TbCurrencyRates,CNY,USD,1460,2026-01-01,2029-12-30
TbCurrencyRates,EUR,EUR,1461,2026-01-01,2029-12-31
TbCurrencyRates,EUR,USD,1460,2026-01-01,2029-12-30
TbCurrencyRates,INR,EUR,1460,2026-01-01,2029-12-30
TbCurrencyRates,INR,USD,1460,2026-01-01,2029-12-30
TbCurrencyRates,JPY,USD,1460,2026-01-01,2029-12-30
TbCurrencyRates,SGD,SGD,1461,2026-01-01,2029-12-31
TbCurrencyRates,SGD,USD,1460,2026-01-01,2029-12-30
TbCurrencyRates,USD,EUR,1460,2026-01-01,2029-12-30
TbCurrencyRates,USD,SGD,1460,2026-01-01,2029-12-30
TbCurrencyRates,USD,USD,1461,2026-01-01,2029-12-31
USDDaily,CNY,USD,197,2026-01-01,2026-07-16
USDDaily,EUR,USD,197,2026-01-01,2026-07-16
USDDaily,INR,USD,197,2026-01-01,2026-07-16
USDDaily,JPY,USD,197,2026-01-01,2026-07-16
USDDaily,SGD,USD,181,2026-01-01,2026-06-30
