P12 FX 2026 Detail[src],P12 FX 2026 Detail[code_from],P12 FX 2026 Detail[code_to],P12 FX 2026 Detail[cal_date],P12 FX 2026 Detail[eff_date],P12 FX 2026 Detail[rate_daily],P12 FX 2026 Detail[rate_a],P12 FX 2026 Detail[rate_m]
CurrencyRatesTo,CNY,EUR,2029-12-30,2025-10-09,0.1213801,,
CurrencyRatesTo,CNY,EUR,2029-12-29,2025-10-09,0.1213801,,
CurrencyRatesTo,CNY,USD,2029-12-30,2025-10-09,0.1402813,,
CurrencyRatesTo,EUR,EUR,2029-12-31,2029-12-31,1,1,1
CurrencyRatesTo,EUR,EUR,2029-12-30,2029-12-30,1,1,1
CurrencyRatesTo,EUR,EUR,2029-12-29,2029-12-29,1,1,1
CurrencyRatesTo,EUR,USD,2029-12-30,2025-10-09,1.1557198,,
CurrencyRatesTo,INR,EUR,2029-12-30,2025-10-09,0.0097376,,
CurrencyRatesTo,INR,EUR,2029-12-29,2025-10-09,0.0097376,,
CurrencyRatesTo,INR,USD,2029-12-30,2025-10-09,0.0112539,,
CurrencyRatesTo,JPY,USD,2029-12-30,2025-10-09,0.0065336,,
CurrencyRatesTo,USD,EUR,2029-12-30,2025-10-09,0.8652616,,
CurrencyRatesTo,USD,EUR,2029-12-29,2025-10-09,0.8652616,,
CurrencyRatesTo,USD,USD,2029-12-31,2029-12-31,1,1,1
CurrencyRatesTo,USD,USD,2029-12-30,2029-12-30,1,1,1
RatesToCXA,CNY,USD,2029-12-30,2026-07-16,0.1476702,,
RatesToCXA,CNY,USD,2029-12-29,2026-07-16,0.1476702,,
RatesToCXA,EUR,USD,2029-12-30,2026-07-16,1.1446983,,
RatesToCXA,EUR,USD,2029-12-29,2026-07-16,1.1446983,,
RatesToCXA,INR,USD,2029-12-30,2026-07-16,0.0103823,,
RatesToCXA,INR,USD,2029-12-29,2026-07-16,0.0103823,,
RatesToCXA,JPY,USD,2029-12-30,2026-07-16,0.0061565,,
RatesToCXA,JPY,USD,2029-12-29,2026-07-16,0.0061565,,
RatesToCXA,SGD,USD,2029-12-30,2026-06-30,0.772499,,
RatesToCXA,SGD,USD,2029-12-29,2026-06-30,0.772499,,
RatesToCXA,SGD,USD,2029-12-28,2026-06-30,0.772499,,
RatesToCXA,USD,USD,2029-12-31,2029-12-31,1,1,1
RatesToCXA,USD,USD,2029-12-30,2029-12-30,1,1,1
RatesToCXA,USD,USD,2029-12-29,2029-12-29,1,1,1
RatesToCXA,USD,USD,2029-12-28,2029-12-28,1,1,1
TbCurrencyRates,CNY,EUR,2029-12-30,2026-07-16,0.1290036,,
TbCurrencyRates,CNY,EUR,2029-12-29,2026-07-16,0.1290036,,
TbCurrencyRates,CNY,USD,2029-12-30,2026-07-16,0.1476702,,
TbCurrencyRates,EUR,EUR,2029-12-31,2029-12-31,1,1,1
TbCurrencyRates,EUR,EUR,2029-12-30,2029-12-30,1,1,1
TbCurrencyRates,EUR,EUR,2029-12-29,2029-12-29,1,1,1
TbCurrencyRates,EUR,USD,2029-12-30,2026-07-16,1.1446983,,
TbCurrencyRates,INR,EUR,2029-12-30,2026-07-16,0.0090699,,
TbCurrencyRates,INR,EUR,2029-12-29,2026-07-16,0.0090699,,
TbCurrencyRates,INR,USD,2029-12-30,2026-07-16,0.0103823,,
TbCurrencyRates,JPY,USD,2029-12-30,2026-07-16,0.0061565,,
TbCurrencyRates,SGD,USD,2029-12-30,2026-06-30,0.772499,,
TbCurrencyRates,USD,EUR,2029-12-30,2026-07-16,0.8735926,,
TbCurrencyRates,USD,USD,2029-12-31,2029-12-31,1,1,1
TbCurrencyRates,USD,USD,2029-12-30,2029-12-30,1,1,1
USDDaily,EUR,USD,2026-07-16,2026-07-16,1.1446983,,
USDDaily,EUR,USD,2026-07-15,2026-07-15,1.1435914,,
USDDaily,EUR,USD,2026-07-14,2026-07-14,1.1426753,,
USDDaily,EUR,USD,2026-07-13,2026-07-13,1.1403127,,
USDDaily,EUR,USD,2026-07-12,2026-07-12,1.1415609,,
USDDaily,EUR,USD,2026-07-11,2026-07-11,1.141733,,
USDDaily,EUR,USD,2026-07-10,2026-07-10,1.1438843,,
USDDaily,EUR,USD,2026-07-09,2026-07-09,1.1438693,,
USDDaily,EUR,USD,2026-07-08,2026-07-08,1.1395344,,
USDDaily,EUR,USD,2026-07-07,2026-07-07,1.1422904,,
USDDaily,EUR,USD,2026-07-06,2026-07-06,1.1425367,,
USDDaily,EUR,USD,2026-07-05,2026-07-05,1.1437499,,
USDDaily,EUR,USD,2026-07-04,2026-07-04,1.1441135,,
USDDaily,EUR,USD,2026-07-03,2026-07-03,1.1436998,,
USDDaily,EUR,USD,2026-07-02,2026-07-02,1.1447446,,
