DocNum,LineNum,RecvDate,Item2nd,UOMTxn,UOMPrim,UOMPurch,IBUOMPrim,Qty,QtyLB,QtyKG,CFLB,CFKG,QtyOrd,QtyStocked
203966,2.0,2021-04-08T00:00:00,??????,EA,,EA,,0.0,0.0,0.0,1.0,0.4536,0.0,0.0
203967,2.0,2021-04-08T00:00:00,??????,EA,,EA,,0.0,0.0,0.0,1.0,0.4536,0.0,0.0
226297,5.0,2022-04-11T00:00:00,??????,EA,,EA,,1468.43,1468.43,666.0798480000001,1.0,0.4536,0.0,0.0
226434,3.0,2022-04-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
226314,2.0,2022-04-12T00:00:00,??????,EA,,EA,,1485.54,1485.54,673.840944,1.0,0.4536,0.0,0.0
228339,2.0,2022-05-19T00:00:00,??????,EA,,EA,,19158.24,19158.24,8690.177664,1.0,0.4536,0.0,0.0
226436,2.0,2022-04-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
226438,2.0,2022-04-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
235575,3.0,2022-09-22T00:00:00,??????,DR,,DR,,-1.0,-470.0,-200.0,470.0,200.0,0.0,0.0
229430,2.007,2022-06-07T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
229430,3.007,2022-06-07T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
209665,5.0,2021-07-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
187116,2.0,2020-05-05T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
209661,3.0,2021-07-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
209705,3.0,2021-07-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
209771,4.0,2021-07-14T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
220952,2.0,2022-01-10T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
213481,1.0,2021-09-14T00:00:00,??????,LB,,LB,,470.0,470.0,470.0,1.0,1.0,0.0,0.0
219210,2.0,2021-12-08T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
221343,3.0,2022-01-17T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
226109,2.0,2022-04-07T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
226109,3.0,2022-04-07T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
228653,1.001,2022-05-25T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
231934,2.001,2022-07-19T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
228649,3.0,2022-05-25T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
230894,4.0,2022-07-01T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
230892,2.0,2022-07-01T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
238199,5.0,2022-11-17T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,0.0,0.0
