OrderCo,Branch,OrderNum,LineNum,OpenFlag,GlobalBulk,Bulk,Item2nd,Desc1,Desc2,FHC,NextStatus,USD,EUR,LB,KG,CM,Net,ExtCost,ExtCostUSD,ExtCostEUR,StdExtCostUSD,FSDUnitCost,QtyOrd,RBU,TM,CustName,Country,GlobalParent,PromDate,Chemist,LineType,OrderType
00010,        CIN2,1328475,1.0,N,U501,U501,U501-OP,HYDROSIZE U5-01,,COL,999,19800.0,,4500.0,2041.1660000000002,5427.0,19800.0,14373.0,14373.0,,0.0,3.194,10.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2021-06-03T00:00:00,Norman Seung,S,S4
00010,        CIN2,1099167,1.0,N,U501,U501,U501-OP,HYDROSIZE U5-01,,COL,999,48807.0,,13050.0,5919.3814,16330.77,48807.0,32476.23,32476.23,,0.0,2.4886,29.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2020-05-26T00:00:00,Norman Seung,S,S4
00010,        CIN2,1201320,1.0,N,U501,U501,U501-OP,HYDROSIZE U5-01,,COL,999,50490.0,,13500.0,6123.4980000000005,7600.5,50490.0,42889.5,42889.5,,0.0,3.177,30.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2020-10-22T00:00:00,Norman Seung,S,S4
00010,        CIN2,1214069,1.0,N,U201,U201,U201-OP,HYDROSIZE U2-01,,COL,999,3753.0,,900.0,408.2332,1782.72,3753.0,1970.28,1970.28,,0.0,2.1892,2.0,10240,Samuel Hankins,"Highland Industries - Cheraw, SC",United States,"Highland Industries - Cheraw, SC",2020-11-06T00:00:00,Norman Seung,S,S4
00010,        CIN2,1229140,1.0,N,U501,U501,U501-OP,HYDROSIZE U5-01,,COL,999,1683.0,,450.0,204.1166,153.45,1683.0,1529.55,1529.55,,0.0,3.399,1.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2020-12-18T00:00:00,Norman Seung,S,S4
00010,        CIN2,1262399,1.0,N,U501,U501,U501-OP,HYDROSIZE U5-01,,COL,999,10098.0,,2700.0,1224.6996,1474.2,10098.0,8623.8,8623.8,,0.0,3.194,6.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2021-03-17T00:00:00,Norman Seung,S,S4
00010,        CIN2,1285881,1.0,N,U201,U201,U201-OP,HYDROSIZE U2-01,,COL,999,1876.5,,450.0,204.1166,708.48,1876.5,1168.02,1168.02,,0.0,2.5956,1.0,10240,Samuel Hankins,"Highland Industries - Cheraw, SC",United States,"Highland Industries - Cheraw, SC",2021-02-22T00:00:00,Norman Seung,S,S4
00010,        CIN2,1338501,1.0,N,U2022,U2022,U2022-OP,HYDROSIZE U2022,,COL,999,2245.5,,450.0,204.1166,1026.45,2245.5,1219.05,1219.05,,0.0,2.709,1.0,10240,Samuel Hankins,"Vartega Inc- Golden, CO",United States,Vartega - Global Parent,2021-05-26T00:00:00,Norman Seung,S,S4
00010,        CIN2,1060005,1.0,N,U501,U501,U501-OP,HYDROSIZE U5-01,,COL,999,28611.0,,7650.0,3469.9822,9573.21,28611.0,19037.79,19037.79,,0.0,2.4886,17.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2020-03-04T00:00:00,Norman Seung,S,S4
00010,        CIN2,1085695,1.0,N,U201,U201,U201-OP,HYDROSIZE U2-01,,COL,999,3753.0,,900.0,408.2332,1782.72,3753.0,1970.28,1970.28,,0.0,2.1892,2.0,10240,Samuel Hankins,"Highland Industries - Cheraw, SC",United States,"Highland Industries - Cheraw, SC",2020-04-01T00:00:00,Norman Seung,S,S4
00010,        CIN2,1164973,1.0,N,U501,U501,U501-OP,HYDROSIZE U5-01,,COL,999,50490.0,,13500.0,6123.4980000000005,7600.5,50490.0,42889.5,42889.5,,0.0,3.177,30.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2020-07-31T00:00:00,Norman Seung,S,S4
00010,        CIN2,1350933,1.0,N,U501,U501,U501-OP,HYDROSIZE U5-01,,COL,999,136.35,,27.0,12.2472,50.11,136.35,86.24,86.24,,0.0,3.194,27.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2021-05-27T00:00:00,Norman Seung,S,S4
00010,        CIN2,1369688,1.0,N,U501,U501,U501-PL,HYDROSIZE U5-01,,COL,999,638.0,,145.0,65.772,116.83,638.0,521.17,521.17,,0.0,3.5943,145.0,10240,Samuel Hankins,"AGY Aiken - Aiken, SC",United States,AGY - Global Parent,2021-06-28T00:00:00,Norman Seung,S,S4
00010,        CIN2,1050689,1.0,N,U101,U101,U101-OP,HYDROSIZE U1-01,,COL,999,52951.5,,18450.0,8368.92,19627.11,52951.5,33324.39,33324.39,,0.0,1.8062,18450.0,10240,Samuel Hankins,"Johns Manville - Waterville, OH(River)",United States,Johns Manville - Global Parent,2020-01-31T00:00:00,Norman Seung,S,S4
00010,        CIN2,1055688,1.0,N,U101,U101,U101-OP,HYDROSIZE U1-01,,COL,999,51660.0,,18000.0,8164.664000000001,19148.4,51660.0,32511.6,32511.6,,0.0,1.8062,40.0,10240,Samuel Hankins,"Johns Manville - Waterville, OH(River)",United States,Johns Manville - Global Parent,2020-03-09T00:00:00,Norman Seung,S,S4
00010,        CIN2,1222423,1.0,N,U101,U101,U101-OP,HYDROSIZE U1-01,,COL,999,14085.0,,4500.0,2041.1660000000002,4594.5,14085.0,9490.5,9490.5,,0.0,2.109,10.0,10240,Samuel Hankins,"Johns Manville - Waterville, OH(River)",United States,Johns Manville - Global Parent,2021-02-08T00:00:00,Norman Seung,S,S4
00010,        CIN2,1229213,1.0,N,U101,U101,U101-OP,HYDROSIZE U1-01,,COL,999,15498.0,,5400.0,2449.3992,4109.4,15498.0,11388.6,11388.6,,0.0,2.109,12.0,10240,Samuel Hankins,"Johns Manville - Waterville, OH(River)",United States,Johns Manville - Global Parent,2021-02-08T00:00:00,Norman Seung,S,S4
