PeriodEnd,RateDaily,RateA,RateM,RateB
2019-01-31T00:00:00,1.1462,1.1417,1.1462,1.1601
2019-02-28T00:00:00,1.1383,1.1351,1.1383,1.1601
2019-03-31T00:00:00,1.1227,1.1299,1.1227,1.1601
2019-04-30T00:00:00,1.1216,1.1234,1.1216,1.1601
2019-05-31T00:00:00,1.1161,1.1187,1.1161,1.1601
2019-06-30T00:00:00,1.1375,1.1296,1.1375,1.1601
2019-07-31T00:00:00,1.1125,1.1211,1.1125,1.1601
2019-08-31T00:00:00,1.1003,1.1122,1.1003,1.1601
2019-09-30T00:00:00,1.0902,1.1011,1.0902,1.1601
2019-10-31T00:00:00,1.1148,1.1056,1.1148,1.1601
2019-11-30T00:00:00,1.1011,1.1049,1.1011,1.1601
2019-12-31T00:00:00,1.1228,1.1115,1.1228,1.1601
2020-01-31T00:00:00,1.1096,1.1108,1.1094,1.1019
2020-02-29T00:00:00,1.1027,1.0919,1.1027,1.1019
2020-03-31T00:00:00,1.1026,1.107,1.1026,1.1019
2020-04-30T00:00:00,1.0932,1.087,1.0932,1.1019
2020-05-31T00:00:00,1.1106,1.092,1.1106,1.1019
2020-06-30T00:00:00,1.1235,1.125,1.1235,1.1019
2020-07-31T00:00:00,1.1819,1.1439,1.1819,1.1019
2020-08-31T00:00:00,1.1953,1.1825,1.1953,1.1019
2020-09-30T00:00:00,1.1724,1.1794,1.1724,1.1019
2020-10-31T00:00:00,1.1659,1.1769,1.1659,1.1019
2020-11-30T00:00:00,1.1946,1.1837,1.1946,1.1019
2020-12-31T00:00:00,1.2228,1.2163,1.2228,1.1019
2021-01-31T00:00:00,1.2138,1.217,1.2138,1.1997
2021-02-28T00:00:00,1.2072,1.2096,1.2072,1.1997
2021-03-31T00:00:00,1.1743,1.191,1.1743,1.1997
2021-04-30T00:00:00,1.2034,1.1951,1.2034,1.1997
2021-05-31T00:00:00,1.223,1.2139,1.223,1.1997
2021-06-30T00:00:00,1.1851,1.2047,1.1851,1.1997
2021-07-31T00:00:00,1.1868,1.1827,1.1868,1.1997
2021-08-31T00:00:00,1.1799,1.1771,1.1799,1.1997
2021-09-30T00:00:00,1.1577,1.1778,1.1577,1.1997
2021-10-31T00:00:00,1.1564,1.1598,1.1564,1.1997
2021-11-30T00:00:00,1.1288,1.1411,1.1288,1.1997
2021-12-31T00:00:00,1.1377,1.1304,1.1377,1.1997
2022-01-31T00:00:00,1.1209,1.1325,1.1209,1.1816
2022-02-28T00:00:00,1.1223,1.1341,1.1223,1.1816
2022-03-31T00:00:00,1.1096,1.101,1.1096,1.1816
2022-04-30T00:00:00,1.0544,1.0831,1.0544,1.1816
2022-05-31T00:00:00,1.0732,1.0569,1.0732,1.1816
2022-06-30T00:00:00,1.0466,1.0574,1.0466,1.1816
2022-07-31T00:00:00,1.0224,1.0203,1.0224,1.1816
2022-08-31T00:00:00,1.0067,1.0122,1.0067,1.1816
2022-09-30T00:00:00,0.9788,0.9918,0.9788,1.1816
2022-10-31T00:00:00,0.9882,0.9832,0.9882,1.1816
2022-11-30T00:00:00,1.032,1.0204,1.032,1.1816
2022-12-31T00:00:00,1.0732,1.0585,1.0732,1.1816
2023-01-31T00:00:00,1.0858,1.0781,1.0858,0.997
2023-02-28T00:00:00,1.0602,1.0711,1.0602,0.997
