AddressSKey,AddressNum,Company,AddrSalesBU,AddrBUSKey,CustN,CustSalesBU,CustBU,CustRepCode,CustRepName,CustPrimaryRep,CustAnyRepName,CustAnySalesBU
36336,350232,00020,CSG,6,,,,,,,,CSG
29318,324809,00020,CSG,6,,,,,,,,CSG
29377,324937,00020,CSG,6,,,,,,,,CSG
29474,325203,00020,CSG,6,,,,,,,,CSG
31617,331172,00020,CSG,6,,,,,,,,CSG
21044,303740,00020,CSG,6,,,,,,,,CSG
30197,327458,00020,CSG,6,,,,,,,,CSG
30295,327709,00020,CSG,6,,,,,,,,CSG
30086,327232,00020,CSG,6,,,,,,,,CSG
34532,340374,00020,CSG,6,,,,,,,,CSG
28114,321432,00020,PPG,6,,,,,,,,PPG
14616,291821,00020,CSG,6,,,,,,,,CSG
30045,327093,00020,PPG,6,,,,,,,,PPG
18056,295623,00020,PPG,6,,,,,,,,PPG
20395,301301,00010,CSG,2,,,,,,,,CSG
4070,26449,00010,CSG,2,,,,,,,,CSG
3287,23602,00010,CSG,2,,,,,,,,CSG
3289,23604,00010,CSG,2,,,,,,,,CSG
36073,348391,00030,FCG,14,,,,,,,,FCG
36784,355893,00030,FCG,14,,,,,,,,FCG
35094,342667,00030,PPG,14,,,,,,,,PPG
5415,49066,00020,FCG,6,,,,,,,,FCG
29380,324952,00010,FCG,2,,,,,,,,FCG
15448,292708,00010,FCG,2,,,,,,,,FCG
15988,293281,00010,FCG,2,,,,,,,,FCG
16747,294095,00010,FCG,2,,,,,,,,FCG
11056,287919,00010,FCG,2,,,,,,,,FCG
36578,352524,00010,FCG,2,,,,,,,,FCG
15553,292816,00010,FCG,2,,,,,,,,FCG
15700,292974,00010,FCG,2,,,,,,,,FCG
20387,301242,00010,FCG,2,,,,,,,,FCG
33167,336441,00010,FCG,2,,,,,,,,FCG
15462,292724,00010,FCG,2,,,,,,,,FCG
15449,292709,00010,FCG,2,,,,,,,,FCG
1689,21734,00010,FCG,2,,,,,,,,FCG
35182,342996,00010,FCG,6,,,,,,,,FCG
26284,316392,00010,FCG,18,,,,,,,,FCG
29093,324089,00010,FCG,6,,,,,,,,FCG
28287,321883,00010,FCG,6,,,,,,,,FCG
19924,300027,00010,FCG,6,,,,,,,,FCG
8394,164613,00010,FCG,2,,,,,,,,FCG
