WONum,WOType,StartDate,CompletedDate,WOStatus,ParentItem2nd,ParentBranch,ParentGlobalBulk,ParentBulk,ParentIBItem2nd,PLBranch,PLBusinessUnit,CompItem2nd,CompIBItem2nd,CompGlobalBulk,CompBulk,CompStockType,UOM,QtyOrdered,QtyShipped,QtyTransaction,PLCompletion,CompLineNum,CompType,LineType
4526170,WO,2023-06-20T00:00:00,2023-06-19T00:00:00,99,U502-PL,CIN2,U502,U502,U502-PL,CIN2,        CIN2,U502,U502,U502,U502,P,LB,0.0,1.0,0.0,1900-01-01T00:00:00,0,,S
4527254,WO,2023-07-12T00:00:00,2023-07-12T00:00:00,99,U101-PL,CIN2,U101,U101,U101-PL,CIN2,        CIN2,U101,U101,U101,U101,M,LB,0.0,1.0,0.0,1900-01-01T00:00:00,0,,S
4528085,WO,2023-07-27T00:00:00,2023-07-27T00:00:00,99,U103,CIN2,U103,U103,U103,CIN2,        CIN2,U101,U101,U101,U101,M,LB,0.0,450.0,0.0,1900-01-01T00:00:00,0,,S
4528087,WO,2023-07-27T00:00:00,2023-07-27T00:00:00,99,U103,CIN2,U103,U103,U103,CIN2,        CIN2,U101,U101,U101,U101,M,LB,0.0,450.0,0.0,1900-01-01T00:00:00,0,,S
4529817,WO,2023-09-13T00:00:00,2023-09-12T00:00:00,99,HP1432AT,CIN2,HP1432AT,HP1432AT,HP1432AT,CIN2,        CIN2,HP1432AT-OP,HP1432AT-OP,HP1432AT,HP1432AT,P,LB,0.0,3760.0,0.0,1900-01-01T00:00:00,0,,S
4534930,WO,2024-01-03T00:00:00,2023-12-29T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX-T2,161190PX-T2,161190PX,161190PX,P,LB,0.0,38585.0,0.0,1900-01-01T00:00:00,0,,S
4534985,WO,2023-12-11T00:00:00,2023-12-08T00:00:00,99,MC40EAF,CIN2,MC40EAF,MC40EAF,MC40EAF,CIN2,        CIN2,161190PX-T2,161190PX-T2,161190PX,161190PX,P,LB,0.0,475.0,0.0,1900-01-01T00:00:00,0,,S
4535147,WO,2023-12-19T00:00:00,2023-12-20T00:00:00,99,MC40EAF,CIN2,MC40EAF,MC40EAF,MC40EAF,CIN2,        CIN2,161190PX-T2,161190PX-T2,161190PX,161190PX,P,LB,0.0,15200.0,0.0,1900-01-01T00:00:00,0,,S
4535561,WO,2024-01-03T00:00:00,2024-01-08T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX-T2,161190PX-T2,161190PX,161190PX,P,LB,0.0,69845.0,0.0,1900-01-01T00:00:00,0,,S
4526457,WO,2023-06-28T00:00:00,2023-06-29T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,26810.0,0.0,1900-01-01T00:00:00,0,,S
4526535,WO,2023-07-14T00:00:00,2023-07-18T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,71459.0,0.0,1900-01-01T00:00:00,0,,S
4526839,WO,2023-07-19T00:00:00,2023-07-20T00:00:00,99,MC40EAF,CIN2,MC40EAF,MC40EAF,MC40EAF,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,13555.0,0.0,1900-01-01T00:00:00,0,,S
4528065,WO,2023-08-01T00:00:00,2023-08-04T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,72348.0,0.0,1900-01-01T00:00:00,0,,S
4528667,WO,2023-08-03T00:00:00,2023-08-03T00:00:00,99,MC40EAF,CIN2,MC40EAF,MC40EAF,MC40EAF,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,747.0,0.0,1900-01-01T00:00:00,0,,S
4528786,WO,2023-08-07T00:00:00,2023-08-07T00:00:00,99,MC40EAF,CIN2,MC40EAF,MC40EAF,MC40EAF,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,947.0,0.0,1900-01-01T00:00:00,0,,S
4529318,WO,2023-08-22T00:00:00,2023-08-24T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,71805.0,0.0,1900-01-01T00:00:00,0,,S
4529473,WO,2023-08-22T00:00:00,2023-08-22T00:00:00,99,MC40EAF,CIN2,MC40EAF,MC40EAF,MC40EAF,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,16670.0,0.0,1900-01-01T00:00:00,0,,S
4529964,WO,2023-09-07T00:00:00,2023-09-08T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,69818.0,0.0,1900-01-01T00:00:00,0,,S
4531188,WO,2023-10-05T00:00:00,2023-10-05T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,21435.0,0.0,1900-01-01T00:00:00,0,,S
4531355,WO,2023-10-12T00:00:00,2023-10-16T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX,161190PX,161190PX,161190PX,P,LB,0.0,71774.0,0.0,1900-01-01T00:00:00,0,,S
4532402,WO,2023-10-24T00:00:00,2023-10-27T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX-T2,161190PX-T2,161190PX,161190PX,P,LB,0.0,70151.0,0.0,1900-01-01T00:00:00,0,,S
4532958,WO,2023-11-01T00:00:00,2023-11-02T00:00:00,99,MC40EAF,CIN2,MC40EAF,MC40EAF,MC40EAF,CIN2,        CIN2,161190PX-T2,161190PX-T2,161190PX,161190PX,P,LB,0.0,13908.0,0.0,1900-01-01T00:00:00,0,,S
4532970,WO,2023-11-02T00:00:00,2023-11-01T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX-T2,161190PX-T2,161190PX,161190PX,P,LB,0.0,21960.0,0.0,1900-01-01T00:00:00,0,,S
4533734,WO,2023-11-17T00:00:00,2023-11-20T00:00:00,99,NM73,CIN2,NM73,NM73,NM73,CIN2,        CIN2,161190PX-T2,161190PX-T2,161190PX,161190PX,P,LB,0.0,69612.0,0.0,1900-01-01T00:00:00,0,,S
4530197,WO,2023-09-05T00:00:00,2023-09-05T00:00:00,99,HP1632,CIN2,HP1632,HP1632,HP1632,CIN2,        CIN2,HP1632-T2,HP1632-T2,HP1632,HP1632,P,LB,0.0,80.0,0.0,1900-01-01T00:00:00,0,,S
4535009,WO,2023-12-11T00:00:00,2023-12-05T00:00:00,99,U701-PL,CIN2,U701,U701,U701-PL,CIN2,        CIN2,U701,U701,U701,U701,M,LB,0.0,3.0,0.0,1900-01-01T00:00:00,0,,S
4517967,WO,2023-01-18T00:00:00,2023-01-19T00:00:00,99,ML180.S,SING,ML180,ML180.S,ML180.S,SING,        SING,NP4LF.S,NP4LF.S,NP4LF,NP4LF.S,P,KG,0.0,24328.0,0.0,1900-01-01T00:00:00,0,,S
4519941,WO,2023-02-28T00:00:00,2023-03-02T00:00:00,99,ML156.S,SING,ML156,ML156.S,ML156.S,SING,        SING,NP4LF.S,NP4LF.S,NP4LF,NP4LF.S,P,KG,0.0,7160.0,0.0,1900-01-01T00:00:00,0,,S
4520776,WO,2023-03-09T00:00:00,2023-03-20T00:00:00,99,ML156.S,SING,ML156,ML156.S,ML156.S,SING,        SING,NP4LF.S,NP4LF.S,NP4LF,NP4LF.S,P,KG,0.0,5292.0,0.0,1900-01-01T00:00:00,0,,S
