Branch,ParentItem2nd,CompItem2nd,CompBulk,CompGlobalBulk,CompItem2ndIM,CompBulkIM,CompBranch,TypeBOM,EffFrom,EffThru,Qty,QtyBatch,CompLineNum,RevLevel,UOM,IsCurrent,DWSource,CompIBSKey,ParentIBSKey
CIN2,U470,U470-OP,U470,U470,U470-OP,U470,CIN2,M,2020-12-01T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,21185,20993
CIN2,U204-OP,U204,U204,U204,U204,U204,CIN2,M,2022-10-12T00:00:00,2040-12-31T00:00:00,45000.0,0.0,0.0,,LB,0,1,20146,20263
CIN2,U204-PL,U204,U204,U204,U204,U204,CIN2,M,2013-08-27T00:00:00,2040-12-31T00:00:00,4000.0,0.0,0.0,,LB,0,1,20146,20264
CIN2,ABEX2525-PD,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,CIN2,M,2025-07-10T00:00:00,2040-12-31T00:00:00,46000.0,0.0,0.0,,LB,0,1,18249,22831
CIN2,HP1432AT,HP1432AT-OP,HP1432AT,HP1432AT,HP1432AT-OP,HP1432AT,CIN2,M,2023-03-27T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,19980,19977
ORTC,U501,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2019-03-26T00:00:00,2040-12-31T00:00:00,7.258,0.0,0.0,,LB,0,1,95706,95690
ORTC,U601,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2019-03-26T00:00:00,2040-12-31T00:00:00,5.582,0.0,0.0,,LB,0,1,95706,95691
ORTC,HP302,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2008-06-18T00:00:00,2040-12-31T00:00:00,10.0,0.0,2.0,,LB,0,1,95706,95693
ORTC,U1001,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2014-03-10T00:00:00,2040-12-31T00:00:00,5.357,0.0,0.0,,LB,0,1,95706,95711
ORTC,U701,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2019-03-26T00:00:00,2040-12-31T00:00:00,7.989,0.0,0.0,,LB,0,1,95706,95713
ORTC,U2022,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2019-03-26T00:00:00,2040-12-31T00:00:00,11.1312,0.0,0.0,,LB,0,1,95706,95722
ORTC,U2023,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2016-08-17T00:00:00,2040-12-31T00:00:00,11.1312,0.0,0.0,,LB,0,1,95706,95804
ORTC,U470,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2016-08-25T00:00:00,2040-12-31T00:00:00,7.306,0.0,0.0,,LB,0,1,95706,95805
ORTC,U480,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2016-08-25T00:00:00,2040-12-31T00:00:00,7.7025,0.0,0.0,,LB,0,1,95706,95806
ORTC,U701M,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2014-02-05T00:00:00,2040-12-31T00:00:00,7.989,0.0,0.0,,LB,0,1,95706,95780
ORTC,U1092,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ORTC,M,2014-03-10T00:00:00,2040-12-31T00:00:00,9.2848,0.0,0.0,,LB,0,1,95706,95745
CIN2,U103,U101,U101,U101,U101,U101,CIN2,M,2008-06-23T00:00:00,2040-12-31T00:00:00,83.09,0.0,1.0,,LB,0,1,18218,18222
CIN2,U101-PL,U101,U101,U101,U101,U101,CIN2,M,2009-03-11T00:00:00,2040-12-31T00:00:00,4000.0,0.0,1.0,,LB,0,1,18218,18372
CIN2,U103C,U101,U101,U101,U101,U101,CIN2,M,2016-04-15T00:00:00,2040-12-31T00:00:00,83.09,0.0,0.0,,LB,0,1,18218,20923
