Sch,Tbl,Ord,Col,Typ
BIQL,DimBillOfMaterial,1,BillOfMaterialSKey,int
BIQL,DimBillOfMaterial,2,ParentItemSKey,int
BIQL,DimBillOfMaterial,3,ParentCompanySKey,int
BIQL,DimBillOfMaterial,4,ParentBusinessUnitSKey,int
BIQL,DimBillOfMaterial,5,ParentItemBranchSKey,int
BIQL,DimBillOfMaterial,6,ComponentItemSKey,int
BIQL,DimBillOfMaterial,7,ComponentCompanySKey,int
BIQL,DimBillOfMaterial,8,ComponentBusinessUnitSKey,int
BIQL,DimBillOfMaterial,9,ComponentItemBranchSKey,int
BIQL,DimBillOfMaterial,10,UOMSKey,int
BIQL,DimBillOfMaterial,11,UOMTransactionSKey,int
BIQL,DimBillOfMaterial,12,TypeBillofMaterial,nchar
BIQL,DimBillOfMaterial,13,TypeBillofMaterialDesc,nvarchar
BIQL,DimBillOfMaterial,14,ParentItemNumShort,int
BIQL,DimBillOfMaterial,15,Branch,nchar
BIQL,DimBillOfMaterial,16,SubstituteItemSequenceNum,decimal
BIQL,DimBillOfMaterial,17,CoByProductsIntermediate,nchar
BIQL,DimBillOfMaterial,18,ComponentLineNumBOM,decimal
BIQL,DimBillOfMaterial,19,BillRevisionLevel,nchar
BIQL,DimBillOfMaterial,20,ComponentBranch,nchar
BIQL,DimBillOfMaterial,21,ComponentCostingMethod,nchar
BIQL,DimBillOfMaterial,22,ComponentCostingMethodPurch,nchar
BIQL,DimBillOfMaterial,23,ComponentItemNumShort,int
BIQL,DimBillOfMaterial,24,ComponentLineNum,decimal
BIQL,DimBillOfMaterial,25,ComponentType,nchar
BIQL,DimBillOfMaterial,26,ComponentTypeDesc,nvarchar
BIQL,DimBillOfMaterial,27,Description1,nvarchar
BIQL,DimBillOfMaterial,28,ECONum,nchar
BIQL,DimBillOfMaterial,29,EngineeringChangeReason,nchar
BIQL,DimBillOfMaterial,30,FixedorVariableBatchSize,nchar
BIQL,DimBillOfMaterial,31,IssueTypeCode,nchar
BIQL,DimBillOfMaterial,32,ItemNumUseUpGoTo,int
BIQL,DimBillOfMaterial,33,LastRevisionNo,nchar
BIQL,DimBillOfMaterial,34,LineType,nchar
BIQL,DimBillOfMaterial,35,PartialsAllowedYN,nchar
BIQL,DimBillOfMaterial,36,SequenceNumOperations,decimal
BIQL,DimBillOfMaterial,37,UOM,nchar
BIQL,DimBillOfMaterial,38,UOMTransaction,nchar
BIQL,DimBillOfMaterial,39,EffectiveFromDate,date
BIQL,DimBillOfMaterial,40,EffectiveFromDateID,int
BIQL,DimBillOfMaterial,41,EffectiveThruDate,date
BIQL,DimBillOfMaterial,42,EffectiveThruDateID,int
BIQL,DimBillOfMaterial,43,EngineeringChangeDate,date
BIQL,DimBillOfMaterial,44,EngineeringChangeDateID,int
BIQL,DimBillOfMaterial,45,AmountUnitCost,decimal
BIQL,DimBillOfMaterial,46,AmountUnitPricePerPrimary,decimal
BIQL,DimBillOfMaterial,47,PercentAsIs,decimal
BIQL,DimBillOfMaterial,48,PercentCumulativePlannedYield,decimal
BIQL,DimBillOfMaterial,49,PercentOfScrap,decimal
BIQL,DimBillOfMaterial,50,PercentOperationScrap,decimal
BIQL,DimBillOfMaterial,51,PercentResource,decimal
BIQL,DimBillOfMaterial,52,PercentRework,decimal
BIQL,DimBillOfMaterial,53,QuantityBatch,decimal
BIQL,DimBillOfMaterial,54,QuantityStandardRequired,decimal
BIQL,DimBillOfMaterial,55,DWEffectiveFromDateDW,date
BIQL,DimBillOfMaterial,56,DWEffectiveThruDateDW,date
BIQL,DimBillOfMaterial,57,ParentItemNum2nd,nvarchar
BIQL,DimBillOfMaterial,58,ParentItemNum3rd,nvarchar
BIQL,DimBillOfMaterial,59,QuantityStandardRequired_TM1,decimal
