Branch,GlobalBulk,Bulk,Item2nd,StockType,MPF,LeadTimeLevel,LeadTimeMFG,PlanningCode,PTF,SafetyStock,SafetyStockSAFE,ShelfLife,SupplierNum,SupplierName,PlannerNum,PlannerName,Planner,BuyerNum,BuyerName,ActiveFlag,Partition,SRC01,SRC01Desc,SRC03,SRC03Desc,SRC04,SRC04Desc,StockTypeDesc,MPFDesc
        DALL,U601,U601,U601-KP,O,TOL,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I96,U601,X,Discontinued,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        SANF,U601,U601,U601-KP,O,TOL,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I96,U601,X,Discontinued,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        DALL,U501,U501,U501,O,ETP,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I95,U501,C,Commercial,"Obsolete (To Order, Call MKT)",ETP
        DALL,U601,U601,U601,O,TOL,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I96,U601,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        DALL,U1001,U1001,U1001,O,ETP,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I86,U1001,X,Discontinued,"Obsolete (To Order, Call MKT)",ETP
        DALL,U2022,U2022,U2022,O,TOL,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I94,U2022,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        DALL,U201,U201,U201-PL,O,TOL,4,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I92,U201,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        DALL,U2022,U2022,U2022-PL,O,TOL,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I94,U2022,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        SANF,U501,U501,U501,O,ETP,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I95,U501,C,Commercial,"Obsolete (To Order, Call MKT)",ETP
        SANF,U601,U601,U601,O,TOL,0,0,2,4,,,365,0,,20440,Roger Niehaus,Eric,0,,N,1,URE,Polyurethanes,I96,U601,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
