Work Center,InSOPList,WorkOrders,Operations,BulkProdFlag,BUType
CPK,No,22554,22556,,WC
MPK,No,11999,11999,,WC
CIN,No,11524,13048,,WC
APK,No,10009,10014,,WC
APKR,No,8427,8427,PKG,WC
APKG,No,8061,8069,PKG,WC
MIN,No,6645,6645,,WC
AIN,No,4760,4760,,WC
KPKG,No,3825,3825,PKG,WC
MPKG,No,3762,3824,,WC
CHT,No,3644,3644,,WC
CRITICAL,No,2668,2668,,WC
SPKGMINI,No,2612,2612,PKG,WC
AREPACK,No,2202,2202,RPK,WC
MPKGSAF,No,2059,2059,PKG,WC
MPKGFLOOR,No,1979,1979,PKG,WC
SPKGBIG,No,1931,1931,PKG,WC
SRHEX,No,1919,1919,,WC
SPOST,No,1421,1421,,WC
KPKGFLOOR,No,1271,1271,PKG,WC
MHOT,No,1250,1250,,WC
SHOT,No,1249,1249,,WC
MPOST28,No,1160,1160,,WC
AHEX,No,1156,1156,,WC
CIN2,No,1107,1107,,BP
SEHEX,No,985,985,,WC
MREC35,Yes,955,955,BAT,WC
ARENAME,No,937,937,RNM,WC
MRENAME,No,915,915,RNM,WC
KRENAME,No,909,909,RNM,WC
ACOLD,Yes,829,829,BAT,WC
MREC36,Yes,823,823,BAT,WC
MREC34,Yes,820,820,BAT,WC
KREPACK,Yes,820,820,RPK,WC
MPKGPAIL,No,794,794,PKG,WC
MCOLD2,Yes,745,745,BAT,WC
MCOLD,Yes,745,745,BAT,WC
MCHT26,No,736,736,,WC
SREC23,Yes,726,726,BAT,WC
AHOT,No,714,714,,WC
SHOMO,No,676,676,,WC
SREC37,Yes,636,636,BAT,WC
SDMD,Yes,622,622,BAT,WC
SREC72,Yes,622,622,BAT,WC
AREC18,Yes,596,596,BAT,WC
MREC3,Yes,577,577,BAT,WC
KPORT1,Yes,555,555,BAT,WC
SRENAME,No,543,543,RNM,WC
AREC24,Yes,542,544,BAT,WC
SREC130,Yes,534,534,BAT,WC
KSB49,Yes,534,534,BAT,WC
SE2K59,Yes,520,520,BAT,WC
AK19,Yes,498,498,BAT,WC
AECG,Yes,497,497,BAT,WC
MHEX1,No,490,490,,WC
SREPACK,No,472,472,RPK,WC
AREC10,Yes,463,463,BAT,WC
MECG,Yes,462,462,BAT,WC
MHT8,No,392,392,,WC
APEC,Yes,389,389,BAT,WC
SEC46,Yes,389,390,BAT,WC
SPREC,Yes,377,386,BAT,WC
SEC30,Yes,375,375,BAT,WC
MCHT25,No,375,375,,WC
MHEX,No,349,349,,WC
KWG44,Yes,347,347,BAT,WC
SREC48,Yes,345,345,BAT,WC
APOST,No,330,330,,WC
SE2K29,Yes,329,329,BAT,WC
MPREC,Yes,326,326,BAT,WC
KSB57,Yes,324,324,BAT,WC
SEC36,Yes,309,309,BAT,WC
MHOMO,No,307,307,,WC
SPKGFLOOR,No,299,299,PKG,WC
APREC,Yes,262,263,BAT,WC
MPKGBOX,No,259,259,PKG,WC
KBOT,No,243,243,PKG,WC
MTK7,Yes,231,231,BAT,WC
SPEC,Yes,229,280,BAT,WC
KSB99,Yes,207,207,BAT,WC
SHEC35,Yes,198,199,BAT,WC
MPKGCOLD,No,189,189,PKG,WC
KBB6,Yes,184,184,BAT,WC
SHEC98,Yes,182,182,BAT,WC
AHOMO,No,181,181,,WC
KSP,No,173,173,BAT,WC
SHOTBOX,No,164,164,,WC
SHNF123,No,155,155,,WC
SDPTOTE,Yes,154,154,BAT,WC
KBB3,Yes,149,149,BAT,WC
MHEX3,No,147,147,,WC
SDPPL,No,143,143,PKG,WC
MPOST3,No,136,136,,WC
KBB53,Yes,127,127,BAT,WC
MHEX5,No,122,122,,WC
KBB52,Yes,118,118,BAT,WC
AT9,Yes,111,112,,WC
KBB19,Yes,106,106,BAT,WC
KBB127,Yes,106,106,BAT,WC
KHOTBOX,No,100,100,,WC
KBB28,Yes,95,95,BAT,WC
SPKGE2,No,94,94,PKG,WC
KBB55,Yes,93,93,BAT,WC
KBB10,Yes,86,86,BAT,WC
APCU,Yes,82,82,BAT,WC
KWG84,Yes,78,78,BAT,WC
MCHT31,No,78,78,,WC
KBB17,Yes,76,76,BAT,WC
ACOW,Yes,72,72,BAT,WC
KBB20,Yes,70,70,BAT,WC
MHEX2,No,63,63,,WC
ABT05,Yes,53,53,,WC
SPKG,No,51,51,PKG,WC
SBOIL,No,50,50,,WC
