TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE
BIQL,GlobalLotStatusExport,2,DateSKey,int,,10,0,YES
BIQL,TbCustomerShipTo,2,AddressSKey,int,,10,0,YES
BIQL,TbSales_Detail_v2,2,ShipToCustomerSKey,int,,10,0,YES
BIQL,TbItemCost_History,2,ItemSKey,int,,10,0,YES
BIQL,TbPurchaseOrder,2,CompanySKey,int,,10,0,YES
BIQL,TbSecuritySales_TM,2,DocumentNum,int,,10,0,YES
BIQL,TbSales_History_v2,2,ShipToCustomerSKey,int,,10,0,YES
BIQL,FactAPDetail,2,SupplierSKey,int,,10,0,YES
BIQL,DimDisposalFee,2,CompanySKey,int,,10,0,YES
BIQL,FactInventoryDetail,2,ItemBranchSKey,int,,10,0,YES
BIQL,TbAccountsPayable_Detail,2,CompanySKey,int,,10,0,YES
BIQL,TbAccountsPayable_Payment,2,CompanySKey,int,,10,0,YES
BIQL,DimMRP_MPS_MtrlMsg,2,BusinessUnitSKey,int,,10,0,YES
BIQL,DimMRP_MPS_MtrlPeg,2,ItemBranchSKey,int,,10,0,YES
BIQL,DimMRP_MPS_TimeSeries,2,ItemBranchSKey,int,,10,0,YES
BIQL,TbMRP_MPS_MtrlMsg,2,BusinessUnitSKey,int,,10,0,YES
BIQL,TbMRP_MPS_MtrlPeg,2,BusinessUnitSKey,int,,10,0,YES
BIQL,TbMRP_MPS_TimeSeries,2,ItemBranchSKey,int,,10,0,YES
BIQL,FactSupplierPricing,2,AddressSKey,int,,10,0,YES
BIQL,TbSupplierPricing,2,AddressSKey,int,,10,0,YES
BIQL,FactForecast_v2,2,ItemBranchSKey,int,,10,0,YES
BIQL,DimCustomer,2,AddressSKey,int,,10,0,YES
BIQL,DimCustomerMin,2,AddressSKey,int,,10,0,YES
BIQL,TbCustomerSalespersonBridge,2,CustomerSKey,int,,10,0,YES
BIQL,FCR_History_ItemCheck,2,ItemNumShort,int,,10,0,YES
BIQL,FactPriceExceptions,2,CompanySKey,int,,10,0,YES
BIQL,TbPriceExceptions,2,CompanySKey,int,,10,0,YES
BIQL,FactSalesPriceAdjustments,2,ItemSKey,int,,10,0,YES
BIQL,DimWorkOrder,2,CompanySKey,int,,10,0,YES
BIQL,TbSecurityAR_TM,2,DocumentNum,int,,10,0,YES
BIQL,TbAccountsReceivable_Detail,2,CompanySKey,int,,10,0,YES
BIQL,TbAccountsReceivable_Receipt,2,CompanySKey,int,,10,0,YES
BIQL,TbBudgetForecast,2,BusinessUnitSKey,int,,10,0,YES
BIQL,DimBillOfMaterialExpanded_PRE,2,ParentCompanySKey,int,,10,0,YES
BIQL,TbAsset,2,BusinessUnitSKey,int,,10,0,YES
BIQL,TbCalendar,2,DateSKey,int,,10,0,YES
BIQL,TbCalendarAging,2,DateSKey,int,,10,0,YES
BIQL,DimCustomerMax,2,AddressSKey,int,,10,0,YES
BIQL,TbCustomerParent,2,AddressSKey,int,,10,0,YES
BIQL,TbGLBalancesDetail_Detail,2,AddressSKey,int,,10,0,YES
BIQL,TbInventoryBalances,2,ItemBranchSKey,int,,10,0,YES
BIQL,TbInventorySnapshot_Detail,2,DateSKey,int,,10,0,YES
BIQL,TbInventorySnapshot_ItemBranch,2,DateSKey,int,,10,0,YES
BIQL,TbInventoryDetail,2,ItemBranchSKey,int,,10,0,YES
BIQL,TbStandardItemCost,2,BusinessUnitSKey,int,,10,0,YES
BIQL,DimBillOfMaterialExpanded,2,ParentCompanySKey,int,,10,0,YES
BIQL,TbSupplyAndDemand_zzForecastSalesRelativeWeek,2,BusinessUnitSKey,int,,10,0,YES
BIQL,TbPurchaseOrderDetail,2,AddressSKey,int,,10,0,YES
BIQL,TbPurchaseOrderReceiver,2,SupplierSKey,int,,10,0,YES
BIQL,TbBillOfMaterialExpanded,2,ParentCompanySKey,int,,10,0,YES
BIQL,zzz_TbSales_Detail,2,ShipToCustomerSKey,int,,10,0,YES
BIQL,TbBillOfMaterialExpanded_EDW,2,ParentCompanySKey,int,,10,0,YES
BIQL,zzz_TbSales_History,2,ShipToCustomerSKey,int,,10,0,YES
BIQL,TbBillOfMaterialExpanded2,2,ParentCompanySKey,int,,10,0,YES
BIQL,TbInventorySnapshotFCR_Detail,2,CompanySKey,int,,10,0,YES
BIQL,TbInventorySnapshotFCR_History,2,CompanySKey,int,,10,0,YES
BIQL,TbItemCost,2,ItemSKey,int,,10,0,YES
BIQL,TbSupplier,2,AddressSKey,int,,10,0,YES
BIQL,DimItemCostLookupAsOf,2,BusinessUnitSKey,int,,10,0,YES
BIQL,TbWorkOrderPartsList_Parent,2,AddressSKey,int,,10,0,YES
BIQL,TbWorkOrder,2,LotSKey,int,,10,0,YES
BIQL,DimItemCostLookup,2,BusinessUnitSKey,int,,10,0,YES
BIQL,TbWorkOrderPartsList_Parts,2,AddressSKey,int,,10,0,YES
BIQL,TbWorkOrderProductionCost,2,BusinessUnitSKey,int,,10,0,YES
BIQL,TbWorkOrderRouting_Routing,2,ItemBranchSKey,int,,10,0,YES
BIQL,TbWorkOrderRouting_Time,2,ItemBranchSKey,int,,10,0,YES
BIQL,DimBusinessUnit,2,CompanySKey,int,,10,0,YES
BIQL,TbCustomer,2,AddressSKey,int,,10,0,YES
BIQL,DimCalendar,2,DateSKey,int,,10,0,YES
BIQL,DimItemCostComponents_History,2,ItemNumShort,int,,10,0,YES
BIQL,FactAPPaymentDetail,2,SupplierSKey,int,,10,0,YES
BIQL,DimAsset,2,CompanySKey,int,,10,0,YES
BIQL,FactInventorySnapshot_History_Filtered,2,DateSKey,int,,10,0,YES
BIQL,FactARDetail,2,AccountSKey,int,,10,0,YES
BIQL,DimBillOfMaterial,2,ParentItemSKey,int,,10,0,YES
BIQL,FactItemCostFCR_Detail,2,DateSKey,int,,10,0,YES
BIQL,DimFrozenCostRollup_History,2,ItemBranchSKey,int,,10,0,YES
BIQL,FactItemCostFCR_History,2,DateSKey,int,,10,0,YES
BIQL,FactInventorySnapshotFCR_History,2,DateSKey,int,,10,0,YES
BIQL,TbSupplyChain_PO,2,BranchSKey,int,,10,0,YES
BIQL,FactInventorySnapshotFCR_Detail,2,DateSKey,int,,10,0,YES
BIQL,FactARReceiptsDetail,2,BusinessUnitSKey,int,,10,0,YES
BIQL,DimCurrencyCrossRatesCalc,2,CurrencyCodeFromSKey,int,,10,0,YES
BIQL,TbItemCostFCR_Detail,2,DateSKey,int,,10,0,YES
BIQL,TbCalendarSnapshot,2,DateSKey,int,,10,0,YES
BIQL,TbItemCostFCR_History,2,DateSKey,int,,10,0,YES
BIQL,DimCurrencyRestatementRates,2,CurrencyCodeFromSKey,int,,10,0,YES
BIQL,FactForecast,2,ItemBranchSKey,int,,10,0,YES
BIQL,DimDistributionAAI,2,CompanySKey,int,,10,0,YES
BIQL,DimItemBasePrice,2,ItemSKey,int,,10,0,YES
BIQL,FactGLDetail,2,AddressSKey,int,,10,0,YES
BIQL,TbSupplyAndDemand_zzBOM,2,ComponentItemBranchSKey,int,,10,0,YES
BIQL,DimItemCrossReference,2,ItemSKey,int,,10,0,YES
BIQL,TbSales_Analysis,2,CalendarSKey,int,,10,0,YES
BIQL,FactGLPeriodBalances,2,AccountSKey,int,,10,0,YES
BIQL,DimBillOfMaterialPrimaryUOM,2,ComponentItemBranchSKey,int,,10,0,YES
BIQL,TbQuality_Off_Spec RM_2,2,ItemBranchSKey,int,,10,0,YES
BIQL,FactGLYearBalances,2,BusinessUnitSKey,int,,10,0,YES
BIQL,TbQualityWoRtLoc,2,LotSKey,int,,10,0,YES
BIQL,FactInventoryAsOfPerBalances,2,ItemBranchSKey,int,,10,0,YES
BIQL,TbQualityRawMaterial,2,LotSKey,int,,10,0,YES
BIQL,DimLot,2,ItemSKey,int,,10,0,YES
BIQL,FactInventoryAsOfYearBalances,2,ItemBranchSKey,int,,10,0,YES
BIQL,TbQualityOffSpecWOBulk,2,LotSKey,int,,10,0,YES
BIQL,DimItemBranch_History,2,BranchSKey,int,,10,0,YES
BIQL,FactInventorySnapshot,2,DateSKey,int,,10,0,YES
BIQL,TbQualityOffSpecWOComponents,2,LotSKey,int,,10,0,YES
BIQL,DimRouting,2,ParentItemSKey,int,,10,0,YES
BIQL,FactPurchaseOrderDetail,2,OrderCompanySKey,int,,10,0,YES
BIQL,TbQuality_Off_Spec WO,2,LotSKey,int,,10,0,YES
BIQL,FactPurchaseOrderReceiver,2,OrderCompanySKey,int,,10,0,YES
BIQL,TbQuality_Off_Spec WO_RM,2,LotSKey,int,,10,0,YES
BIQL,FactSalesDetail,2,DocumentCompanySKey,int,,10,0,YES
