TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE
BIQL,TbSF_Case,1,LotSKey,int,,10,0,YES
BIQL,TbSF_Case,7,AddressSKey,int,,10,0,YES
BIQL,TbSF_Case,8,Age_Open_Monitor_Corrective_Actions__c,numeric,,18,0,YES
BIQL,TbSF_Case,48,Data_Quality_Score__c,numeric,,18,0,YES
BIQL,TbSF_Case,86,of_products__c,numeric,,18,0,YES
BIQL,TbSF_Case,99,Product_A_Blended__c,numeric,,18,0,YES
BIQL,TbSF_Case,105,Quantity_Delivered__c,numeric,,18,0,YES
BIQL,TbSF_Case,106,Quantity_Impacted__c,numeric,,18,0,YES
BIQL,TbSF_Case,117,RMA_Number__c,numeric,,18,0,YES
BIQL,TbSF_Case,2,Unique Key ID,decimal,,19,0,YES
BIQL,TbSF_Case,10,BO_Guidelines_Followed__c,bit,,,,YES
BIQL,TbSF_Case,28,Complaint_or_OOO_NCF_Supplier_Related__c,bit,,,,YES
BIQL,TbSF_Case,29,Complaint_Valid__c,bit,,,,YES
BIQL,TbSF_Case,59,Externally_Tolled__c,bit,,,,YES
BIQL,TbSF_Case,60,FMB__c,bit,,,,YES
BIQL,TbSF_Case,63,Global_Multiple_Entities__c,bit,,,,YES
BIQL,TbSF_Case,69,IsClosed,bit,,,,YES
BIQL,TbSF_Case,70,IsDeleted,bit,,,,YES
BIQL,TbSF_Case,71,IsEscalated,bit,,,,YES
BIQL,TbSF_Case,101,Product_Involved__c,bit,,,,YES
BIQL,TbSF_Case,104,Quality_Issue__c,bit,,,,YES
BIQL,TbSF_Case,108,Raw_Material_Hot_List_Item__c,bit,,,,YES
BIQL,TbSF_Case,110,Record_Claim__c,bit,,,,YES
BIQL,TbSF_Case,111,Record_Credit__c,bit,,,,YES
BIQL,TbSF_Case,121,safety_risk_customer_personnel_exposure__c,bit,,,,YES
BIQL,TbSF_Case,24,ClosedDate,datetime,,,,YES
BIQL,TbSF_Case,39,CreatedDate,datetime,,,,YES
BIQL,TbSF_Case,74,LastModifiedDate,datetime,,,,YES
BIQL,TbSF_Case,75,LastReferencedDate,datetime,,,,YES
BIQL,TbSF_Case,76,LastViewedDate,datetime,,,,YES
BIQL,TbSF_Case,131,SystemModstamp,datetime,,,,YES
BIQL,TbSF_Case,20,Change_to_Monitoring_Corrective_Action__c,date,,,,YES
BIQL,TbSF_Case,37,Created_Date__c,date,,,,YES
BIQL,TbSF_Case,49,Date_Completed__c,date,,,,YES
BIQL,TbSF_Case,50,Date_Credit_Settled__c,date,,,,YES
BIQL,TbSF_Case,51,Date_of_Occurance__c,date,,,,YES
BIQL,TbSF_Case,52,Date_Reimbursed__c,date,,,,YES
BIQL,TbSF_Case,53,Date_Responded__c,date,,,,YES
BIQL,TbSF_Case,57,Expected_Completion_Date__c,date,,,,YES
BIQL,TbSF_Case,58,Expected_Response_Date__c,date,,,,YES
BIQL,TbSF_Case,61,Follow_up_Date__c,date,,,,YES
BIQL,TbSF_Case,21,Claim_Amount__c,numeric,,18,2,YES
BIQL,TbSF_Case,40,Credit_Amount__c,numeric,,18,2,YES
BIQL,TbSF_Case,41,Credit_Amount_Requested__c,numeric,,18,2,YES
BIQL,TbSF_Case,44,Credit_Paid__c,numeric,,18,2,YES
BIQL,TbSF_Case,135,Total_Amount_of_the_credit_debit_note__c,numeric,,18,2,YES
BIQL,TbSF_Case,134,Total_amount_invoiced__c,numeric,,17,2,YES
BIQL,TbSF_Case,133,Time_Spent_hours__c,numeric,,18,1,YES
BIQL,TbSF_Case,17,CaseNumber,nvarchar,30,,,YES
BIQL,TbSF_Case,11,Business_Group__c,nvarchar,255,,,YES
BIQL,TbSF_Case,12,Business_Segment__c,nvarchar,255,,,YES
BIQL,TbSF_Case,13,Business_Unit__c,nvarchar,255,,,YES
BIQL,TbSF_Case,18,Category__c,nvarchar,255,,,YES
BIQL,TbSF_Case,23,Claim_Currency__c,nvarchar,255,,,YES
BIQL,TbSF_Case,25,CO_DO_Integration_Response__c,nvarchar,255,,,YES
BIQL,TbSF_Case,36,Contract_Regulatory_Notes__c,nvarchar,255,,,YES
BIQL,TbSF_Case,43,Credit_Currency__c,nvarchar,255,,,YES
BIQL,TbSF_Case,46,Customer_PO__c,nvarchar,255,,,YES
BIQL,TbSF_Case,55,Document_Type__c,nvarchar,255,,,YES
BIQL,TbSF_Case,72,Keywords__c,nvarchar,255,,,YES
BIQL,TbSF_Case,77,Level_1__c,nvarchar,255,,,YES
BIQL,TbSF_Case,78,Level_2__c,nvarchar,255,,,YES
BIQL,TbSF_Case,79,Location__c,nvarchar,255,,,YES
BIQL,TbSF_Case,84,Michelman_Entity__c,nvarchar,255,,,YES
BIQL,TbSF_Case,88,OOO_NCB__c,nvarchar,255,,,YES
BIQL,TbSF_Case,102,Product_Status__c,nvarchar,255,,,YES
BIQL,TbSF_Case,113,Region__c,nvarchar,255,,,YES
BIQL,TbSF_Case,116,Responsible_Department__c,nvarchar,255,,,YES
BIQL,TbSF_Case,119,Root_Cause_Detail_1__c,nvarchar,255,,,YES
BIQL,TbSF_Case,120,Root_Cause_Detail_2__c,nvarchar,255,,,YES
BIQL,TbSF_Case,123,Scale_Up__c,nvarchar,255,,,YES
BIQL,TbSF_Case,127,Subject,nvarchar,255,,,YES
BIQL,TbSF_Case,129,Supplier_or_Carrier__c,nvarchar,255,,,YES
BIQL,TbSF_Case,130,Supplier_Rating__c,nvarchar,255,,,YES
BIQL,TbSF_Case,132,Tax_Rate_Area__c,nvarchar,255,,,YES
BIQL,TbSF_Case,137,Unmapped_Products__c,nvarchar,255,,,YES
BIQL,TbSF_Case,138,UOM__c,nvarchar,255,,,YES
BIQL,TbSF_Case,139,Verified_Effectiveness__c,nvarchar,255,,,YES
BIQL,TbSF_Case,80,Lot_A__c,nvarchar,25,,,YES
BIQL,TbSF_Case,81,Lot_B__c,nvarchar,25,,,YES
BIQL,TbSF_Case,122,Sales_Order__c,nvarchar,25,,,YES
BIQL,TbSF_Case,5,Customer_Code__c,nvarchar,40,,,YES
BIQL,TbSF_Case,6,Address Name,nvarchar,40,,,YES
BIQL,TbSF_Case,33,ContactFax,nvarchar,40,,,YES
BIQL,TbSF_Case,34,ContactMobile,nvarchar,40,,,YES
BIQL,TbSF_Case,35,ContactPhone,nvarchar,40,,,YES
BIQL,TbSF_Case,97,Priority,nvarchar,40,,,YES
BIQL,TbSF_Case,109,Reason,nvarchar,40,,,YES
BIQL,TbSF_Case,126,Status,nvarchar,40,,,YES
BIQL,TbSF_Case,136,Type,nvarchar,40,,,YES
BIQL,TbSF_Case,4,AccountID,nvarchar,18,,,YES
BIQL,TbSF_Case,9,Blend_Off_Approved_By__c,nvarchar,18,,,YES
BIQL,TbSF_Case,15,Case_Product__c,nvarchar,18,,,YES
BIQL,TbSF_Case,16,Case_Ref_ISO_Doc__c,nvarchar,18,,,YES
BIQL,TbSF_Case,19,Champion__c,nvarchar,18,,,YES
BIQL,TbSF_Case,31,Contact_Name__c,nvarchar,18,,,YES
BIQL,TbSF_Case,38,CreatedById,nvarchar,18,,,YES
BIQL,TbSF_Case,65,Id,nvarchar,18,,,NO
BIQL,TbSF_Case,67,Into_Product_B__c,nvarchar,18,,,YES
BIQL,TbSF_Case,73,LastModifiedById,nvarchar,18,,,YES
BIQL,TbSF_Case,85,NDA__c,nvarchar,18,,,YES
BIQL,TbSF_Case,92,OwnerId,nvarchar,18,,,YES
BIQL,TbSF_Case,93,ParentId,nvarchar,18,,,YES
BIQL,TbSF_Case,98,Product_A__c,nvarchar,18,,,YES
BIQL,TbSF_Case,100,Product_Code__c,nvarchar,18,,,YES
BIQL,TbSF_Case,103,QA_Lab_Contact__c,nvarchar,18,,,YES
BIQL,TbSF_Case,112,RecordTypeId,nvarchar,18,,,YES
BIQL,TbSF_Case,114,Requestor__c,nvarchar,18,,,YES
BIQL,TbSF_Case,26,CO_DO_Number__c,nvarchar,12,,,YES
BIQL,TbSF_Case,32,ContactEmail,nvarchar,80,,,YES
BIQL,TbSF_Case,62,Global_Key_Account_Mgr_Email__c,nvarchar,80,,,YES
BIQL,TbSF_Case,82,Lot_Number__c,nvarchar,150,,,YES
BIQL,TbSF_Case,87,of_Task__c,nvarchar,4,,,YES
BIQL,TbSF_Case,89,Operator__c,nvarchar,100,,,YES
BIQL,TbSF_Case,91,Other_Description__c,nvarchar,100,,,YES
BIQL,TbSF_Case,95,PO_Number__c,nvarchar,100,,,YES
BIQL,TbSF_Case,3,Account_Segmentation__c,nvarchar,1300,,,YES
BIQL,TbSF_Case,14,Call_Back_Number__c,nvarchar,1300,,,YES
BIQL,TbSF_Case,47,Data_Quality_Description__c,nvarchar,1300,,,YES
BIQL,TbSF_Case,64,I_am_Champion__c,nvarchar,1300,,,YES
BIQL,TbSF_Case,124,Ship_To_Customer_Code__c,nvarchar,1300,,,YES
BIQL,TbSF_Case,125,Sold_To_Customer_Code__c,nvarchar,1300,,,YES
BIQL,TbSF_Case,45,CurrencyIsoCode,nvarchar,3,,,YES
BIQL,TbSF_Case,128,Supplier_Location__c,nvarchar,50,,,YES
BIQL,TbSF_Case,68,Invoice_n__c,nvarchar,10,,,YES
BIQL,TbSF_Case,90,Order_n__c,nvarchar,10,,,YES
BIQL,TbSF_Case,107,Quickbase_ID__c,nvarchar,10,,,YES
BIQL,TbSF_Case,22,Claim_Comments__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,27,Comments,ntext,1073741823,,,YES
BIQL,TbSF_Case,30,Completed_Follow_up__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,42,Credit_Comments__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,54,Description,ntext,1073741823,,,YES
BIQL,TbSF_Case,56,Equipment_Number__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,66,Immediate_Corrective_Action__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,94,Planned_Follow_up_to_Verify_Effectivenes__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,96,Preventive_Action__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,115,Resolution__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,118,Root_Cause_Description__c,ntext,1073741823,,,YES
BIQL,TbSF_Case,83,Lot Num,nchar,30,,,YES
