TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE
PRODDTA,F3711,23,TRQPF,nchar,1,,,YES
PRODDTA,F3711,24,TRTOVR,nchar,1,,,YES
PRODDTA,F3711,47,TRPTTS,nchar,1,,,YES
PRODDTA,F3711,53,TRTTTY,nchar,1,,,YES
PRODDTA,F3711,54,TRMFGR,nchar,1,,,YES
PRODDTA,F3711,55,TRMRRR,nchar,1,,,YES
PRODDTA,F3711,56,TRMFGC,nchar,1,,,YES
PRODDTA,F3711,57,TRPRCR,nchar,1,,,YES
PRODDTA,F3711,58,TRPRER,nchar,1,,,YES
PRODDTA,F3711,59,TRSHPR,nchar,1,,,YES
PRODDTA,F3711,60,TRBLKR,nchar,1,,,YES
PRODDTA,F3711,70,TRTTST,nchar,1,,,YES
PRODDTA,F3711,71,TRDFCW,nchar,1,,,YES
PRODDTA,F3711,82,TRCDEC,nchar,1,,,YES
PRODDTA,F3711,99,TRWVTY,nchar,1,,,YES
PRODDTA,F3711,101,TRRSSTS,nchar,1,,,YES
PRODDTA,F3711,111,TRCDEC2,nchar,1,,,YES
PRODDTA,F3711,115,TRNUMT,nchar,1,,,YES
PRODDTA,F3711,116,TRNUMT3,nchar,1,,,YES
PRODDTA,F31122,13,WTTYR,nchar,1,,,YES
PRODDTA,F31122,21,WTSHFT,nchar,1,,,YES
PRODDTA,F31122,31,WTSUMR,nchar,1,,,YES
PRODDTA,F31122,48,WTSOHR,nchar,1,,,YES
PRODDTA,F31122,49,WTSORE,nchar,1,,,YES
PRODDTA,F3114,5,IQSHFT,nchar,1,,,YES
PRODDTA,F3701,8,QATTTY,nchar,1,,,YES
PRODDTA,F3701,9,QANUMT,nchar,1,,,YES
PRODDTA,F3701,12,QACDEC,nchar,1,,,YES
PRODDTA,F3701,23,QAAVG,nchar,1,,,YES
PRODDTA,F3701,24,QATSDP,nchar,1,,,YES
PRODDTA,F3701,25,QAPTTS,nchar,1,,,YES
PRODDTA,F3701,26,QAPTTX,nchar,1,,,YES
PRODDTA,F3701,39,QAQM01,nchar,1,,,YES
PRODDTA,F3701,40,QAQM02,nchar,1,,,YES
PRODDTA,F3701,41,QAQM03,nchar,1,,,YES
PRODDTA,F3701,42,QAQM04,nchar,1,,,YES
PRODDTA,F3701,43,QAQM05,nchar,1,,,YES
PRODDTA,F3701,44,QAQM06,nchar,1,,,YES
PRODDTA,F3701,45,QAQM07,nchar,1,,,YES
PRODDTA,F3701,46,QAQM08,nchar,1,,,YES
PRODDTA,F3701,47,QAQM09,nchar,1,,,YES
PRODDTA,F3701,48,QAQM10,nchar,1,,,YES
PRODDTA,F3701,56,QAACTN,nchar,1,,,YES
PRODDTA,F3701,73,QACRTLBTSK,nchar,1,,,YES
PRODDTA,F5531,16,QZQPF,nchar,1,,,YES
PRODDTA,F31UI006,7,LSSHFT,nchar,1,,,YES
PRODDTA,F31UI006,21,LSEV01,nchar,1,,,YES
PRODDTA,F31UI006,35,LSMWDH,nchar,1,,,YES
PRODDTA,F31UI006,36,LSEV02,nchar,1,,,YES
PRODDTA,F31UI006,39,LSEV11,nchar,1,,,YES
PRODDTA,F31UI006,40,LSEV12,nchar,1,,,YES
PRODDTA,F31UI006,41,LSEV13,nchar,1,,,YES
PRODDTA,F31UI006,42,LSEV14,nchar,1,,,YES
PRODDTA,F31UI006,43,LSEV15,nchar,1,,,YES
PRODDTA,F554072,14,ADBSCD,nchar,1,,,YES
PRODDTA,F554072,18,ADFGY,nchar,1,,,YES
PRODDTA,F554072,28,ADPARTFG,nchar,1,,,YES
PRODDTA,F554072,29,ADAPRS,nchar,1,,,YES
PRODDTA,F554072,99,AD55OTPEN,nchar,1,,,YES
PRODDTA,F554072,100,AD55NOCPEN,nchar,1,,,YES
PRODDTA,F3460,13,MFBPFC,nchar,1,,,YES
PRODDTA,F3460,14,MFRVIS,nchar,1,,,YES
PRODDTA,F4111_ARCH,12,ILFRTO,nchar,1,,,YES
PRODDTA,F4111_ARCH,13,ILLMCX,nchar,1,,,YES
PRODDTA,F4111_ARCH,14,ILLOTS,nchar,1,,,YES
PRODDTA,F4111_ARCH,33,ILIPCD,nchar,1,,,YES
PRODDTA,F4111_ARCH,56,ILCMOO,nchar,1,,,YES
PRODDTA,F4111_ARCH,57,ILRE,nchar,1,,,YES
PRODDTA,F4111_ARCH,58,ILSBLT,nchar,1,,,YES
PRODDTA,F40205,4,LFGLI,nchar,1,,,YES
PRODDTA,F40205,5,LFIVI,nchar,1,,,YES
PRODDTA,F40205,6,LFARI,nchar,1,,,YES
PRODDTA,F40205,7,LFAPI,nchar,1,,,YES
PRODDTA,F40205,8,LFRSGN,nchar,1,,,YES
PRODDTA,F40205,9,LFTXYN,nchar,1,,,YES
PRODDTA,F40205,10,LFPRFT,nchar,1,,,YES
PRODDTA,F40205,11,LFCDSC,nchar,1,,,YES
PRODDTA,F40205,12,LFTX01,nchar,1,,,YES
PRODDTA,F40205,13,LFTX02,nchar,1,,,YES
PRODDTA,F40205,15,LFPDC1,nchar,1,,,YES
PRODDTA,F40205,16,LFPDC2,nchar,1,,,YES
PRODDTA,F40205,17,LFPDC3,nchar,1,,,YES
PRODDTA,F40205,18,LFPDC4,nchar,1,,,YES
PRODDTA,F40205,19,LFIDC1,nchar,1,,,YES
PRODDTA,F40205,20,LFIDC2,nchar,1,,,YES
PRODDTA,F40205,21,LFIDC3,nchar,1,,,YES
PRODDTA,F40205,22,LFIDC4,nchar,1,,,YES
PRODDTA,F40205,23,LFCSJ,nchar,1,,,YES
PRODDTA,F40205,25,LFART,nchar,1,,,YES
PRODDTA,F40205,26,LFAFT,nchar,1,,,YES
PRODDTA,F40205,27,LFGWO,nchar,1,,,YES
PRODDTA,F40205,28,LFEXVR,nchar,1,,,YES
PRODDTA,F40205,29,LFCMI,nchar,1,,,YES
PRODDTA,F40205,30,LFPRRQ,nchar,1,,,YES
PRODDTA,F40205,31,LFEV01,nchar,1,,,YES
PRODDTA,F40205,32,LFEV02,nchar,1,,,YES
PRODDTA,F40205,33,LFEV03,nchar,1,,,YES
PRODDTA,F40205,34,LFEV04,nchar,1,,,YES
PRODDTA,F40205,35,LFEV05,nchar,1,,,YES
PRODDTA,F40205,36,LFNEWR,nchar,1,,,YES
PRODDTA,F40205,37,LFSRUF,nchar,1,,,YES
PRODDTA,F40205,38,LFNBRU,nchar,1,,,YES
PRODDTA,F554072L,18,LTEV01,nchar,1,,,YES
