"Company","MonthYr","Orders","Flex","Miss","MTO"
"(blank)","(blank)","22","0","0","0"
"00010","1-2021","341","213","24","59"
"00010","1-2022","238","111","31","56"
"00010","1-2023","254","142","33","44"
"00010","1-2024","233","130","30","53"
"00010","1-2025","249","89","80","63"
"00010","1-2026","173","99","25","35"
"00010","10-2020","358","260","42","56"
"00010","10-2021","317","172","36","73"
"00010","10-2022","235","134","22","51"
"00010","10-2023","242","168","7","42"
"00010","10-2024","257","158","28","64"
"00010","10-2025","231","155","18","41"
"00010","11-2020","369","253","50","73"
"00010","11-2021","285","176","19","46"
"00010","11-2022","225","131","23","41"
"00010","11-2023","203","135","10","34"
"00010","11-2024","220","130","20","52"
"00010","11-2025","190","115","13","47"
"00010","12-2020","285","143","48","78"
"00010","12-2021","318","175","19","53"
"00010","12-2022","173","78","21","41"
"00010","12-2023","158","102","11","29"
"00010","12-2024","209","120","5","46"
"00010","12-2025","216","134","25","47"
"00010","2-2021","346","159","71","81"
"00010","2-2022","238","77","40","67"
"00010","2-2023","236","142","22","36"
"00010","2-2024","207","138","7","48"
"00010","2-2025","208","120","31","47"
"00010","2-2026","278","162","35","69"
"00010","3-2021","403","198","60","120"
"00010","3-2022","305","153","32","82"
"00010","3-2023","283","154","25","60"
"00010","3-2024","222","148","8","43"
"00010","3-2025","231","161","20","45"
"00010","3-2026","233","187","15","51"
"00010","4-2020","285","201","30","51"
"00010","4-2021","366","198","34","90"
"00010","4-2022","312","184","44","65"
"00010","4-2023","251","164","16","43"
"00010","4-2024","240","157","16","43"
"00010","4-2025","225","152","15","46"
"00010","5-2020","257","180","9","53"
"00010","5-2021","357","180","49","97"
"00010","5-2022","285","182","29","56"
"00010","5-2023","239","159","16","39"
"00010","5-2024","247","148","12","64"
"00010","5-2025","214","149","12","39"
"00010","6-2020","350","244","21","76"
"00010","6-2021","385","217","55","87"
"00010","6-2022","343","178","81","54"
"00010","6-2023","235","166","15","40"
"00010","6-2024","208","130","16","51"
"00010","6-2025","196","130","21","44"
"00010","7-2020","335","230","17","73"
"00010","7-2021","368","191","40","103"
"00010","7-2022","289","169","51","61"
"00010","7-2023","230","130","13","47"
"00010","7-2024","232","147","32","50"
"00010","7-2025","213","143","14","47"
"00010","8-2020","339","241","22","74"
"00010","8-2021","392","208","48","95"
"00010","8-2022","335","206","47","49"
"00010","8-2023","259","163","11","55"
"00010","8-2024","233","143","23","53"
"00010","8-2025","192","131","10","44"
"00010","9-2020","317","210","29","54"
"00010","9-2021","342","165","52","62"
"00010","9-2022","242","139","34","37"
"00010","9-2023","220","145","6","42"
"00010","9-2024","221","120","18","48"
"00010","9-2025","217","142","16","49"
"00020","1-2021","111","58","6","33"
"00020","1-2022","90","39","5","18"
"00020","1-2023","124","79","6","24"
"00020","1-2024","85","38","0","23"
"00020","1-2025","110","45","2","35"
"00020","1-2026","88","28","0","22"
"00020","10-2020","94","55","5","24"
"00020","10-2021","124","41","7","42"
"00020","10-2022","103","47","3","31"
"00020","10-2023","86","37","0","37"
"00020","10-2024","87","41","2","39"
"00020","10-2025","98","37","3","49"
"00020","11-2020","130","70","5","53"
"00020","11-2021","118","49","11","35"
"00020","11-2022","89","41","1","21"
"00020","11-2023","98","37","0","31"
"00020","11-2024","80","41","4","32"
"00020","11-2025","97","33","2","41"
"00020","12-2020","100","50","2","44"
"00020","12-2021","169","92","18","39"
"00020","12-2022","70","37","1","23"
"00020","12-2023","43","18","0","16"
"00020","12-2024","63","23","0","33"
"00020","12-2025","75","31","1","34"
"00020","2-2021","106","48","9","36"
"00020","2-2022","81","35","11","26"
"00020","2-2023","75","38","0","32"
"00020","2-2024","97","41","2","32"
"00020","2-2025","89","45","2","38"
"00020","2-2026","106","48","2","42"
"00020","3-2021","110","54","7","45"
"00020","3-2022","119","55","12","31"
"00020","3-2023","115","47","5","43"
"00020","3-2024","99","51","1","31"
"00020","3-2025","87","39","1","37"
"00020","3-2026","126","103","2","53"
"00020","4-2020","91","56","13","26"
"00020","4-2021","123","53","11","53"
"00020","4-2022","100","46","5","32"
"00020","4-2023","93","43","1","34"
"00020","4-2024","89","36","1","32"
"00020","4-2025","102","51","0","36"
"00020","5-2020","102","65","8","39"
"00020","5-2021","101","43","7","32"
"00020","5-2022","103","44","16","21"
"00020","5-2023","85","36","1","36"
"00020","5-2024","108","53","2","36"
"00020","5-2025","90","38","1","39"
"00020","6-2020","86","59","5","23"
"00020","6-2021","116","52","8","45"
"00020","6-2022","114","48","8","30"
"00020","6-2023","117","53","0","43"
"00020","6-2024","94","45","0","35"
"00020","6-2025","92","40","1","43"
"00020","7-2020","107","64","2","34"
"00020","7-2021","120","45","9","39"
"00020","7-2022","95","34","6","30"
"00020","7-2023","98","51","0","38"
"00020","7-2024","95","36","2","37"
"00020","7-2025","91","34","0","39"
"00020","8-2020","93","56","7","30"
"00020","8-2021","138","66","44","39"
"00020","8-2022","104","59","1","20"
"00020","8-2023","89","45","0","34"
"00020","8-2024","71","40","1","23"
"00020","8-2025","93","39","3","32"
"00020","9-2020","89","50","5","39"
"00020","9-2021","97","35","17","24"
"00020","9-2022","103","49","1","23"
"00020","9-2023","99","40","0","31"
"00020","9-2024","88","42","1","30"
"00020","9-2025","80","21","0","49"
"00030","1-2021","73","33","19","16"
"00030","1-2022","60","29","3","26"
"00030","1-2023","32","15","0","14"
"00030","1-2024","63","23","0","31"
"00030","1-2025","53","34","2","10"
"00030","1-2026","80","31","13","35"
"00030","10-2020","47","32","5","11"
"00030","10-2021","65","16","2","16"
"00030","10-2022","44","19","1","18"
"00030","10-2023","49","24","9","27"
"00030","10-2024","59","20","11","24"
"00030","10-2025","61","16","6","39"
"00030","11-2020","78","47","18","18"
"00030","11-2021","48","21","3","13"
"00030","11-2022","43","28","1","15"
"00030","11-2023","53","16","3","28"
"00030","11-2024","50","25","2","25"
"00030","11-2025","67","22","15","37"
"00030","12-2020","77","33","21","24"
"00030","12-2021","52","23","4","16"
"00030","12-2022","26","8","0","14"
"00030","12-2023","45","21","0","24"
"00030","12-2024","61","31","0","20"
"00030","12-2025","52","23","8","18"
"00030","2-2021","44","17","13","9"
"00030","2-2022","40","17","4","15"
"00030","2-2023","28","11","3","12"
"00030","2-2024","62","22","0","26"
"00030","2-2025","56","22","1","25"
"00030","2-2026","55","33","1","22"
"00030","3-2021","86","41","28","22"
"00030","3-2022","57","28","3","17"
"00030","3-2023","44","17","5","22"
"00030","3-2024","59","19","0","17"
"00030","3-2025","61","30","8","30"
"00030","3-2026","71","60","0","40"
"00030","4-2020","57","29","7","13"
"00030","4-2021","58","23","15","18"
"00030","4-2022","55","29","3","15"
"00030","4-2023","39","15","2","16"
"00030","4-2024","78","26","6","30"
"00030","4-2025","62","33","4","20"
"00030","5-2020","15","8","2","6"
"00030","5-2021","62","23","19","18"
"00030","5-2022","59","31","6","17"
"00030","5-2023","41","18","8","23"
"00030","5-2024","69","22","3","30"
"00030","5-2025","49","22","1","20"
"00030","6-2020","36","25","2","8"
"00030","6-2021","54","11","13","10"
"00030","6-2022","57","26","9","23"
"00030","6-2023","38","10","5","27"
"00030","6-2024","59","23","1","23"
"00030","6-2025","63","28","3","25"
"00030","7-2020","48","20","1","20"
"00030","7-2021","79","22","12","14"
"00030","7-2022","49","25","5","11"
